minbound,shape,unit
-40,16,10
-100,9,10
0,5,10

IX,IY,IZ,value
0,0,0,10
0,0,1,14.1421
0,0,2,22.3607
0,0,3,31.6228
0,0,4,41.2311
0,1,0,10
0,1,1,14.1421
0,1,2,22.3607
0,1,3,31.6228
0,1,4,41.2311
0,2,0,10
0,2,1,14.1421
0,2,2,22.3607
0,2,3,31.6228
0,2,4,41.2311
0,3,0,10
0,3,1,14.1421
0,3,2,22.3607
0,3,3,31.6228
0,3,4,41.2311
0,4,0,10
0,4,1,14.1421
0,4,2,22.3607
0,4,3,31.6228
0,4,4,41.2311
0,5,0,10
0,5,1,14.1421
0,5,2,22.3607
0,5,3,31.6228
0,5,4,41.2311
0,6,0,10
0,6,1,14.1421
0,6,2,22.3607
0,6,3,31.6228
0,6,4,41.2311
0,7,0,10
0,7,1,14.1421
0,7,2,22.3607
0,7,3,31.6228
0,7,4,41.2311
0,8,0,10
0,8,1,14.1421
0,8,2,22.3607
0,8,3,31.6228
0,8,4,41.2311
1,0,0,10
1,0,1,14.1421
1,0,2,22.3607
1,0,3,31.6228
1,0,4,41.2311
1,1,0,20
1,1,1,22.3607
1,1,2,28.2843
1,1,3,36.0555
1,1,4,44.7214
1,2,0,20
1,2,1,22.3607
1,2,2,28.2843
1,2,3,36.0555
1,2,4,44.7214
1,3,0,20
1,3,1,22.3607
1,3,2,28.2843
1,3,3,36.0555
1,3,4,44.7214
1,4,0,20
1,4,1,22.3607
1,4,2,28.2843
1,4,3,36.0555
1,4,4,44.7214
1,5,0,20
1,5,1,22.3607
1,5,2,28.2843
1,5,3,36.0555
1,5,4,44.7214
1,6,0,20
1,6,1,22.3607
1,6,2,28.2843
1,6,3,36.0555
1,6,4,44.7214
1,7,0,20
1,7,1,22.3607
1,7,2,28.2843
1,7,3,36.0555
1,7,4,44.7214
1,8,0,15
1,8,1,18.0278
1,8,2,25
1,8,3,33.541
1,8,4,42.72
2,0,0,10
2,0,1,14.1421
2,0,2,22.3607
2,0,3,31.6228
2,0,4,41.2311
2,1,0,20
2,1,1,22.3607
2,1,2,28.2843
2,1,3,36.0555
2,1,4,44.7214
2,2,0,30
2,2,1,31.6228
2,2,2,36.0555
2,2,3,42.4264
2,2,4,50
2,3,0,30
2,3,1,31.6228
2,3,2,36.0555
2,3,3,42.4264
2,3,4,50
2,4,0,30
2,4,1,31.6228
2,4,2,36.0555
2,4,3,42.4264
2,4,4,50
2,5,0,30
2,5,1,31.6228
2,5,2,36.0555
2,5,3,42.4264
2,5,4,50
2,6,0,30
2,6,1,31.6228
2,6,2,36.0555
2,6,3,42.4264
2,6,4,50
2,7,0,25
2,7,1,26.9258
2,7,2,32.0156
2,7,3,39.0512
2,7,4,47.1699
2,8,0,15
2,8,1,18.0278
2,8,2,25
2,8,3,33.541
2,8,4,42.72
3,0,0,10
3,0,1,14.1421
3,0,2,22.3607
3,0,3,31.6228
3,0,4,41.2311
3,1,0,20
3,1,1,22.3607
3,1,2,28.2843
3,1,3,36.0555
3,1,4,44.7214
3,2,0,30
3,2,1,31.6228
3,2,2,36.0555
3,2,3,42.4264
3,2,4,50
3,3,0,40
3,3,1,41.2311
3,3,2,44.7214
3,3,3,50
3,3,4,56.5685
3,4,0,40
3,4,1,41.2311
3,4,2,44.7214
3,4,3,50
3,4,4,56.5685
3,5,0,40
3,5,1,41.2311
3,5,2,44.7214
3,5,3,50
3,5,4,56.5685
3,6,0,35
3,6,1,36.4005
3,6,2,40.3113
3,6,3,46.0977
3,6,4,53.1507
3,7,0,25
3,7,1,26.9258
3,7,2,32.0156
3,7,3,39.0512
3,7,4,47.1699
3,8,0,15
3,8,1,18.0278
3,8,2,25
3,8,3,33.541
3,8,4,42.72
4,0,0,10
4,0,1,14.1421
4,0,2,22.3607
4,0,3,31.6228
4,0,4,41.2311
4,1,0,20
4,1,1,22.3607
4,1,2,28.2843
4,1,3,36.0555
4,1,4,44.7214
4,2,0,30
4,2,1,31.6228
4,2,2,36.0555
4,2,3,42.4264
4,2,4,50
4,3,0,40
4,3,1,41.2311
4,3,2,44.7214
4,3,3,50
4,3,4,56.5685
4,4,0,50
4,4,1,50.9902
4,4,2,53.8516
4,4,3,58.3095
4,4,4,64.0312
4,5,0,45
4,5,1,46.0977
4,5,2,49.2443
4,5,3,54.0833
4,5,4,60.208
4,6,0,35
4,6,1,36.4005
4,6,2,40.3113
4,6,3,46.0977
4,6,4,53.1507
4,7,0,25
4,7,1,26.9258
4,7,2,32.0156
4,7,3,39.0512
4,7,4,47.1699
4,8,0,15
4,8,1,18.0278
4,8,2,25
4,8,3,33.541
4,8,4,42.72
5,0,0,10
5,0,1,14.1421
5,0,2,22.3607
5,0,3,31.6228
5,0,4,41.2311
5,1,0,20
5,1,1,22.3607
5,1,2,28.2843
5,1,3,36.0555
5,1,4,44.7214
5,2,0,30
5,2,1,31.6228
5,2,2,36.0555
5,2,3,42.4264
5,2,4,50
5,3,0,40
5,3,1,41.2311
5,3,2,44.7214
5,3,3,50
5,3,4,56.5685
5,4,0,50
5,4,1,50.9902
5,4,2,53.8516
5,4,3,58.3095
5,4,4,64.0312
5,5,0,45
5,5,1,46.0977
5,5,2,49.2443
5,5,3,54.0833
5,5,4,60.208
5,6,0,35
5,6,1,36.4005
5,6,2,40.3113
5,6,3,46.0977
5,6,4,53.1507
5,7,0,25
5,7,1,26.9258
5,7,2,32.0156
5,7,3,39.0512
5,7,4,47.1699
5,8,0,15
5,8,1,18.0278
5,8,2,25
5,8,3,33.541
5,8,4,42.72
6,0,0,10
6,0,1,14.1421
6,0,2,22.3607
6,0,3,31.6228
6,0,4,41.2311
6,1,0,20
6,1,1,22.3607
6,1,2,28.2843
6,1,3,36.0555
6,1,4,44.7214
6,2,0,30
6,2,1,31.6228
6,2,2,36.0555
6,2,3,42.4264
6,2,4,50
6,3,0,40
6,3,1,41.2311
6,3,2,44.7214
6,3,3,50
6,3,4,56.5685
6,4,0,50
6,4,1,50.9902
6,4,2,53.8516
6,4,3,58.3095
6,4,4,64.0312
6,5,0,45
6,5,1,46.0977
6,5,2,49.2443
6,5,3,54.0833
6,5,4,60.208
6,6,0,35
6,6,1,36.4005
6,6,2,40.3113
6,6,3,46.0977
6,6,4,53.1507
6,7,0,25
6,7,1,26.9258
6,7,2,32.0156
6,7,3,39.0512
6,7,4,47.1699
6,8,0,15
6,8,1,18.0278
6,8,2,25
6,8,3,33.541
6,8,4,42.72
7,0,0,10
7,0,1,14.1421
7,0,2,22.3607
7,0,3,31.6228
7,0,4,41.2311
7,1,0,20
7,1,1,22.3607
7,1,2,28.2843
7,1,3,36.0555
7,1,4,44.7214
7,2,0,30
7,2,1,31.6228
7,2,2,36.0555
7,2,3,42.4264
7,2,4,50
7,3,0,40
7,3,1,41.2311
7,3,2,44.7214
7,3,3,50
7,3,4,56.5685
7,4,0,50
7,4,1,50.9902
7,4,2,53.8516
7,4,3,58.3095
7,4,4,64.0312
7,5,0,45
7,5,1,46.0977
7,5,2,49.2443
7,5,3,54.0833
7,5,4,60.208
7,6,0,35
7,6,1,36.4005
7,6,2,40.3113
7,6,3,46.0977
7,6,4,53.1507
7,7,0,25
7,7,1,26.9258
7,7,2,32.0156
7,7,3,39.0512
7,7,4,47.1699
7,8,0,15
7,8,1,18.0278
7,8,2,25
7,8,3,33.541
7,8,4,42.72
8,0,0,10
8,0,1,14.1421
8,0,2,22.3607
8,0,3,31.6228
8,0,4,41.2311
8,1,0,20
8,1,1,22.3607
8,1,2,28.2843
8,1,3,36.0555
8,1,4,44.7214
8,2,0,30
8,2,1,31.6228
8,2,2,36.0555
8,2,3,42.4264
8,2,4,50
8,3,0,40
8,3,1,41.2311
8,3,2,44.7214
8,3,3,50
8,3,4,56.5685
8,4,0,50
8,4,1,50.9902
8,4,2,53.8516
8,4,3,58.3095
8,4,4,64.0312
8,5,0,45
8,5,1,46.0977
8,5,2,49.2443
8,5,3,54.0833
8,5,4,60.208
8,6,0,35
8,6,1,36.4005
8,6,2,40.3113
8,6,3,46.0977
8,6,4,53.1507
8,7,0,25
8,7,1,26.9258
8,7,2,32.0156
8,7,3,39.0512
8,7,4,47.1699
8,8,0,15
8,8,1,18.0278
8,8,2,25
8,8,3,33.541
8,8,4,42.72
9,0,0,10
9,0,1,14.1421
9,0,2,22.3607
9,0,3,31.6228
9,0,4,41.2311
9,1,0,20
9,1,1,22.3607
9,1,2,28.2843
9,1,3,36.0555
9,1,4,44.7214
9,2,0,30
9,2,1,31.6228
9,2,2,36.0555
9,2,3,42.4264
9,2,4,50
9,3,0,40
9,3,1,41.2311
9,3,2,44.7214
9,3,3,50
9,3,4,56.5685
9,4,0,50
9,4,1,50.9902
9,4,2,53.8516
9,4,3,58.3095
9,4,4,64.0312
9,5,0,45
9,5,1,46.0977
9,5,2,49.2443
9,5,3,54.0833
9,5,4,60.208
9,6,0,35
9,6,1,36.4005
9,6,2,40.3113
9,6,3,46.0977
9,6,4,53.1507
9,7,0,25
9,7,1,26.9258
9,7,2,32.0156
9,7,3,39.0512
9,7,4,47.1699
9,8,0,15
9,8,1,18.0278
9,8,2,25
9,8,3,33.541
9,8,4,42.72
10,0,0,10
10,0,1,14.1421
10,0,2,22.3607
10,0,3,31.6228
10,0,4,41.2311
10,1,0,20
10,1,1,22.3607
10,1,2,28.2843
10,1,3,36.0555
10,1,4,44.7214
10,2,0,30
10,2,1,31.6228
10,2,2,36.0555
10,2,3,42.4264
10,2,4,50
10,3,0,40
10,3,1,41.2311
10,3,2,44.7214
