minbound,shape,unit
-40,31,5
-100,18,5
0,8,5

IX,IY,IZ,value
0,0,0,57
0,0,1,57
0,0,2,57
0,0,3,57
0,0,4,57
0,0,5,57
0,0,6,57
0,0,7,57
0,1,0,57
0,1,1,57
0,1,2,57
0,1,3,57
0,1,4,57
0,1,5,57
0,1,6,57
0,1,7,57
0,2,0,57
0,2,1,57
0,2,2,57
0,2,3,57
0,2,4,57
0,2,5,57
0,2,6,57
0,2,7,57
0,3,0,57
0,3,1,57
0,3,2,57
0,3,3,57
0,3,4,57
0,3,5,57
0,3,6,57
0,3,7,57
0,4,0,57
0,4,1,57
0,4,2,57
0,4,3,57
0,4,4,57
0,4,5,57
0,4,6,57
0,4,7,57
0,5,0,57
0,5,1,57
0,5,2,57
0,5,3,57
0,5,4,57
0,5,5,57
0,5,6,57
0,5,7,57
0,6,0,57
0,6,1,57
0,6,2,57
0,6,3,57
0,6,4,57
0,6,5,57
0,6,6,57
0,6,7,57
0,7,0,57
0,7,1,57
0,7,2,57
0,7,3,57
0,7,4,57
0,7,5,57
0,7,6,57
0,7,7,57
0,8,0,57
0,8,1,57
0,8,2,57
0,8,3,57
0,8,4,57
0,8,5,57
0,8,6,57
0,8,7,57
0,9,0,57
0,9,1,57
0,9,2,57
0,9,3,57
0,9,4,57
0,9,5,57
0,9,6,57
0,9,7,57
0,10,0,57
0,10,1,57
0,10,2,57
0,10,3,57
0,10,4,57
0,10,5,57
0,10,6,57
0,10,7,57
0,11,0,57
0,11,1,57
0,11,2,57
0,11,3,57
0,11,4,57
0,11,5,57
0,11,6,57
0,11,7,57
0,12,0,57
0,12,1,57
0,12,2,57
0,12,3,57
0,12,4,57
0,12,5,57
0,12,6,57
0,12,7,57
0,13,0,57
0,13,1,57
0,13,2,57
0,13,3,57
0,13,4,57
0,13,5,57
0,13,6,57
0,13,7,57
0,14,0,57
0,14,1,57
0,14,2,57
0,14,3,57
0,14,4,57
0,14,5,57
0,14,6,57
0,14,7,57
0,15,0,57
0,15,1,57
0,15,2,57
0,15,3,57
0,15,4,57
0,15,5,57
0,15,6,57
0,15,7,57
0,16,0,57
0,16,1,57
0,16,2,57
0,16,3,57
0,16,4,57
0,16,5,57
0,16,6,57
0,16,7,57
0,17,0,57
0,17,1,57
0,17,2,57
0,17,3,57
0,17,4,57
0,17,5,57
0,17,6,57
0,17,7,57
1,0,0,57
1,0,1,57
1,0,2,57
1,0,3,57
1,0,4,57
1,0,5,57
1,0,6,57
1,0,7,57
1,1,0,57
1,1,1,57
1,1,2,57
1,1,3,57
1,1,4,57
1,1,5,57
1,1,6,57
