minbound,shape,unit
-40,16,10
-100,9,10
0,5,10

IX,IY,IZ,value
0,0,0,58.4285
0,0,1,56.9234
0,0,2,54.9337
0,0,3,53.4285
0,0,4,52.2763
0,1,0,58.4285
0,1,1,56.9234
0,1,2,54.9337
0,1,3,53.4285
0,1,4,52.2763
0,2,0,58.4285
0,2,1,56.9234
0,2,2,54.9337
0,2,3,53.4285
0,2,4,52.2763
0,3,0,58.4285
0,3,1,56.9234
0,3,2,54.9337
0,3,3,53.4285
0,3,4,52.2763
0,4,0,58.4285
0,4,1,56.9234
0,4,2,54.9337
0,4,3,53.4285
0,4,4,52.2763
0,5,0,58.4285
0,5,1,56.9234
0,5,2,54.9337
0,5,3,53.4285
0,5,4,52.2763
0,6,0,58.4285
0,6,1,56.9234
0,6,2,54.9337
0,6,3,53.4285
0,6,4,52.2763
0,7,0,58.4285
0,7,1,56.9234
0,7,2,54.9337
0,7,3,53.4285
0,7,4,52.2763
0,8,0,58.4285
0,8,1,56.9234
0,8,2,54.9337
0,8,3,53.4285
0,8,4,52.2763
1,0,0,58.4285
1,0,1,56.9234
1,0,2,54.9337
1,0,3,53.4285
1,0,4,52.2763
1,1,0,55.4182
1,1,1,54.9337
1,1,2,53.9131
1,1,3,52.8588
1,1,4,51.9234
1,2,0,55.4182
1,2,1,54.9337
1,2,2,53.9131
1,2,3,52.8588
1,2,4,51.9234
1,3,0,55.4182
1,3,1,54.9337
1,3,2,53.9131
1,3,3,52.8588
1,3,4,51.9234
1,4,0,55.4182
1,4,1,54.9337
1,4,2,53.9131
1,4,3,52.8588
1,4,4,51.9234
1,5,0,55.4182
1,5,1,54.9337
1,5,2,53.9131
1,5,3,52.8588
1,5,4,51.9234
1,6,0,55.4182
1,6,1,54.9337
1,6,2,53.9131
1,6,3,52.8588
1,6,4,51.9234
1,7,0,55.4182
1,7,1,54.9337
1,7,2,53.9131
1,7,3,52.8588
1,7,4,51.9234
1,8,0,56.6676
1,8,1,55.8691
1,8,2,54.4491
1,8,3,53.1727
1,8,4,52.1222
2,0,0,58.4285
2,0,1,56.9234
2,0,2,54.9337
2,0,3,53.4285
2,0,4,52.2763
2,1,0,55.4182
2,1,1,54.9337
2,1,2,53.9131
2,1,3,52.8588
2,1,4,51.9234
2,2,0,53.6573
2,2,1,53.4285
2,2,2,52.8588
2,2,3,52.1521
2,2,4,51.4388
2,3,0,53.6573
2,3,1,53.4285
2,3,2,52.8588
2,3,3,52.1521
2,3,4,51.4388
2,4,0,53.6573
2,4,1,53.4285
2,4,2,52.8588
2,4,3,52.1521
2,4,4,51.4388
2,5,0,53.6573
2,5,1,53.4285
2,5,2,52.8588
2,5,3,52.1521
2,5,4,51.4388
2,6,0,53.6573
2,6,1,53.4285
2,6,2,52.8588
2,6,3,52.1521
2,6,4,51.4388
2,7,0,54.4491
2,7,1,54.1268
2,7,2,53.3749
2,7,3,52.5122
2,7,4,51.6919
2,8,0,56.6676
2,8,1,55.8691
2,8,2,54.4491
2,8,3,53.1727
2,8,4,52.1222
3,0,0,58.4285
3,0,1,56.9234
3,0,2,54.9337
3,0,3,53.4285
3,0,4,52.2763
3,1,0,55.4182
3,1,1,54.9337
3,1,2,53.9131
3,1,3,52.8588
3,1,4,51.9234
3,2,0,53.6573
3,2,1,53.4285
3,2,2,52.8588
3,2,3,52.1521
3,2,4,51.4388
3,3,0,52.4079
3,3,1,52.2763
3,3,2,51.9234
3,3,3,51.4388
3,3,4,50.9028
3,4,0,52.4079
3,4,1,52.2763
3,4,2,51.9234
3,4,3,51.4388
3,4,4,50.9028
3,5,0,52.4079
3,5,1,52.2763
3,5,2,51.9234
3,5,3,51.4388
3,5,4,50.9028
3,6,0,52.9878
3,6,1,52.8174
3,6,2,52.3742
3,6,3,51.7917
3,6,4,51.1734
3,7,0,54.4491
3,7,1,54.1268
3,7,2,53.3749
3,7,3,52.5122
3,7,4,51.6919
3,8,0,56.6676
3,8,1,55.8691
3,8,2,54.4491
