minbound,shape,unit
-40,16,10
-100,9,10
0,5,10

IX,IY,IZ,value
0,0,0,0
0,0,1,0
0,0,2,0
0,0,3,0
0,0,4,0
0,1,0,0
0,1,1,0
0,1,2,0
0,1,3,0
0,1,4,0
0,2,0,0
0,2,1,0
0,2,2,0
0,2,3,0
0,2,4,0
0,3,0,0
0,3,1,0
0,3,2,0
0,3,3,0
0,3,4,0
0,4,0,0
0,4,1,0
0,4,2,0
0,4,3,0
0,4,4,0
0,5,0,0
0,5,1,0
0,5,2,0
0,5,3,0
0,5,4,0
0,6,0,0
0,6,1,0
0,6,2,0
0,6,3,0
0,6,4,0
0,7,0,0
0,7,1,0
0,7,2,0
0,7,3,0
0,7,4,0
0,8,0,0
0,8,1,0
0,8,2,0
0,8,3,0
0,8,4,0
1,0,0,0
1,0,1,0
1,0,2,0
1,0,3,0
1,0,4,0
1,1,0,0
1,1,1,0.433393
1,1,2,0.559957
1,1,3,0.690696
1,1,4,0
1,2,0,0
1,2,1,0.433393
1,2,2,0.559957
1,2,3,0.690696
1,2,4,0
1,3,0,0
1,3,1,0.433393
1,3,2,0.559957
1,3,3,0.690696
1,3,4,0
1,4,0,0
1,4,1,0.433393
1,4,2,0.559957
1,4,3,0.690696
1,4,4,0
1,5,0,0
1,5,1,0.433393
1,5,2,0.559957
1,5,3,0.690696
1,5,4,0
1,6,0,0
1,6,1,0.433393
1,6,2,0.559957
1,6,3,0.690696
1,6,4,0
1,7,0,0
1,7,1,0.433393
1,7,2,0.559957
1,7,3,0.690696
1,7,4,0
1,8,0,0
1,8,1,0.317391
1,8,2,0.493482
1,8,3,0.651763
1,8,4,0
2,0,0,0
2,0,1,0
2,0,2,0
2,0,3,0
2,0,4,0
2,1,0,0
2,1,1,0.433393
2,1,2,0.559957
2,1,3,0.690696
2,1,4,0
2,2,0,0
2,2,1,0.620046
2,2,2,0.690696
2,2,3,0.778327
2,2,4,0
2,3,0,0
2,3,1,0.620046
2,3,2,0.690696
2,3,3,0.778327
2,3,4,0
2,4,0,0
2,4,1,0.620046
2,4,2,0.690696
2,4,3,0.778327
2,4,4,0
2,5,0,0
2,5,1,0.620046
2,5,2,0.690696
2,5,3,0.778327
2,5,4,0
2,6,0,0
2,6,1,0.620046
2,6,2,0.690696
2,6,3,0.778327
2,6,4,0
2,7,0,0
2,7,1,0.533449
2,7,2,0.626695
2,7,3,0.733682
2,7,4,0
2,8,0,0
2,8,1,0.317391
2,8,2,0.493482
2,8,3,0.651763
2,8,4,0
3,0,0,0
3,0,1,0
3,0,2,0
3,0,3,0
3,0,4,0
3,1,0,0
3,1,1,0.433393
3,1,2,0.559957
3,1,3,0.690696
3,1,4,0
3,2,0,0
3,2,1,0.620046
3,2,2,0.690696
3,2,3,0.778327
3,2,4,0
3,3,0,0
3,3,1,0.762935
3,3,2,0.806698
3,3,3,0.866787
3,3,4,0
3,4,0,0
3,4,1,0.762935
3,4,2,0.806698
3,4,3,0.866787
3,4,4,0
3,5,0,0
3,5,1,0.762935
3,5,2,0.806698
3,5,3,0.866787
3,5,4,0
3,6,0,0
3,6,1,0.695825
3,6,2,0.750785
3,6,3,0.823023
3,6,4,0
3,7,0,0
3,7,1,0.533449
3,7,2,0.626695
3,7,3,0.733682
3,7,4,0
3,8,0,0
3,8,1,0.317391
3,8,2,0.493482
3,8,3,0.651763
3,8,4,0
4,0,0,0
4,0,1,0
4,0,2,0
4,0,3,0
4,0,4,0
4,1,0,0
4,1,1,0.433393
4,1,2,0.559957
4,1,3,0.690696
4,1,4,0
4,2,0,0
4,2,1,0.620046
4,2,2,0.690696
4,2,3,0.778327
4,2,4,0
4,3,0,0
4,3,1,0.762935
4,3,2,0.806698
4,3,3,0.866787
4,3,4,0
4,4,0,0
4,4,1,0.877348
4,4,2,0.906754
4,4,3,0.949587
4,4,4,0
4,5,0,0
4,5,1,0.823023
4,5,2,0.858585
4,5,3,0.909065
4,5,4,0
4,6,0,0
4,6,1,0.695825
4,6,2,0.750785
4,6,3,0.823023
4,6,4,0
4,7,0,0
4,7,1,0.533449
4,7,2,0.626695
4,7,3,0.733682
4,7,4,0
4,8,0,0
4,8,1,0.317391
4,8,2,0.493482
4,8,3,0.651763
4,8,4,0
5,0,0,0
5,0,1,0
5,0,2,0
5,0,3,0
5,0,4,0
5,1,0,0
5,1,1,0.433393
5,1,2,0.559957
5,1,3,0.690696
5,1,4,0
5,2,0,0
5,2,1,0.620046
5,2,2,0.690696
5,2,3,0.778327
5,2,4,0
5,3,0,0
5,3,1,0.762935
5,3,2,0.806698
5,3,3,0.866787
5,3,4,0
5,4,0,0
5,4,1,0.877348
5,4,2,0.906754
5,4,3,0.949587
5,4,4,0
5,5,0,0
5,5,1,0
5,5,2,0
5,5,3,0
5,5,4,0
5,6,0,0
5,6,1,0
5,6,2,0
5,6,3,0
5,6,4,0
5,7,0,0
5,7,1,0
5,7,2,0
5,7,3,0
5,7,4,0
5,8,0,0
5,8,1,0
5,8,2,0
5,8,3,0
5,8,4,0
6,0,0,0
6,0,1,0
6,0,2,0
6,0,3,0
6,0,4,0
6,1,0,0
6,1,1,0.433393
6,1,2,0.559957
6,1,3,0.690696
6,1,4,0
6,2,0,0
6,2,1,0.620046
6,2,2,0.690696
6,2,3,0.778327
6,2,4,0
6,3,0,0
6,3,1,0.762935
6,3,2,0.806698
6,3,3,0.866787
6,3,4,0
6,4,0,0
6,4,1,0.877348
6,4,2,0.906754
6,4,3,0.949587
6,4,4,0
6,5,0,0
6,5,1,0
6,5,2,0
6,5,3,0
6,5,4,0
6,6,0,0
6,6,1,0
6,6,2,0
6,6,3,0
6,6,4,0
6,7,0,0
6,7,1,0
6,7,2,0
6,7,3,0
6,7,4,0
6,8,0,0
6,8,1,0
6,8,2,0
6,8,3,0
6,8,4,0
7,0,0,0
7,0,1,0
7,0,2,0
7,0,3,0
7,0,4,0
7,1,0,0
7,1,1,0.433393
7,1,2,0.559957
7,1,3,0.690696
7,1,4,0
7,2,0,0
7,2,1,0.620046
7,2,2,0.690696
7,2,3,0.778327
7,2,4,0
7,3,0,0
7,3,1,0.762935
7,3,2,0.806698
7,3,3,0.866787
7,3,4,0
7,4,0,0
7,4,1,0.877348
7,4,2,0.906754
7,4,3,0.949587
7,4,4,0
7,5,0,0
7,5,1,0
7,5,2,0
7,5,3,0
7,5,4,0
7,6,0,0
7,6,1,0
7,6,2,0
7,6,3,0
7,6,4,0
7,7,0,0
7,7,1,0
7,7,2,0
7,7,3,0
7,7,4,0
7,8,0,0
7,8,1,0
7,8,2,0
7,8,3,0
7,8,4,0
8,0,0,0
8,0,1,0
8,0,2,0
8,0,3,0
8,0,4,0
8,1,0,0
8,1,1,0.433393
8,1,2,0.559957
8,1,3,0.690696
8,1,4,0
8,2,0,0
8,2,1,0.620046
8,2,2,0.690696
8,2,3,0.778327
8,2,4,0
8,3,0,0
8,3,1,0.762935
8,3,2,0.806698
8,3,3,0.866787
8,3,4,0
8,4,0,0
8,4,1,0.877348
8,4,2,0.906754
8,4,3,0.949587
8,4,4,0
8,5,0,0
8,5,1,0
8,5,2,0
8,5,3,0
8,5,4,0
8,6,0,0
8,6,1,0
8,6,2,0
8,6,3,0
8,6,4,0
8,7,0,0
8,7,1,0
8,7,2,0
8,7,3,0
8,7,4,0
8,8,0,0
8,8,1,0
8,8,2,0
8,8,3,0
8,8,4,0
9,0,0,0
9,0,1,0
9,0,2,0
9,0,3,0
9,0,4,0
9,1,0,0
9,1,1,0.433393
9,1,2,0.559957
9,1,3,0.690696
9,1,4,0
9,2,0,0
9,2,1,0.620046
9,2,2,0.690696
9,2,3,0.778327
9,2,4,0
9,3,0,0
9,3,1,0.762935
9,3,2,0.806698
9,3,3,0.866787
9,3,4,0
9,4,0,0
9,4,1,0.877348
9,4,2,0.906754
9,4,3,0.949587
9,4,4,0
9,5,0,0
9,5,1,0
9,5,2,0
9,5,3,0
9,5,4,0
9,6,0,0
9,6,1,0
9,6,2,0
9,6,3,0
9,6,4,0
9,7,0,0
9,7,1,0
9,7,2,0
9,7,3,0
9,7,4,0
9,8,0,0
9,8,1,0
9,8,2,0
9,8,3,0
9,8,4,0
10,0,0,0
10,0,1,0
10,0,2,0
10,0,3,0
10,0,4,0
10,1,0,0
10,1,1,0.433393
10,1,2,0.559957
10,1,3,0.690696
10,1,4,0
10,2,0,0
10,2,1,0.620046
10,2,2,0.690696
10,2,3,0.778327
10,2,4,0
10,3,0,0
10,3,1,0.762935
10,3,2,0.806698
10,3,3,0.866787
10,3,4,0
10,4,0,0
10,4,1,0.877348
10,4,2,0.906754
10,4,3,0.949587
10,4,4,0
10,5,0,0
10,5,1,0.823023
10,5,2,0.858585
10,5,3,0.909065
10,5,4,0
10,6,0,0
10,6,1,0.695825
10,6,2,0.750785
10,6,3,0.823023
10,6,4,0
10,7,0,0
10,7,1,0.533449
10,7,2,0.626695
10,7,3,0.733682
10,7,4,0
10,8,0,0
10,8,1,0.317391
10,8,2,0.493482
10,8,3,0.651763
10,8,4,0
11,0,0,0
11,0,1,0
11,0,2,0
11,0,3,0
11,0,4,0
11,1,0,0
11,1,1,0.433393
11,1,2,0.559957
11,1,3,0.690696
11,1,4,0
11,2,0,0
11,2,1,0.620046
11,2,2,0.690696
11,2,3,0.778327
11,2,4,0
11,3,0,0
11,3,1,0.762935
11,3,2,0.806698
11,3,3,0.866787
11,3,4,0
11,4,0,0
11,4,1,0.877348
11,4,2,0.906754
11,4,3,0.949587
11,4,4,0
11,5,0,0
11,5,1,0.823023
11,5,2,0.858585
11,5,3,0.909065
11,5,4,0
11,6,0,0
11,6,1,0.695825
11,6,2,0.750785
11,6,3,0.823023
11,6,4,0
11,7,0,0
11,7,1,0.533449
11,7,2,0.626695
11,7,3,0.733682
11,7,4,0
11,8,0,0
11,8,1,0.317391
11,8,2,0.493482
11,8,3,0.651763
11,8,4,0
12,0,0,0
12,0,1,0
12,0,2,0
12,0,3,0
12,0,4,0
12,1,0,0
12,1,1,0.433393
12,1,2,0.559957
12,1,3,0.690696
12,1,4,0
12,2,0,0
12,2,1,0.620046
12,2,2,0.690696
12,2,3,0.778327
12,2,4,0
12,3,0,0
12,3,1,0.762935
12,3,2,0.806698
12,3,3,0.866787
12,3,4,0
12,4,0,0
12,4,1,0.762935
12,4,2,0.806698
12,4,3,0.866787
12,4,4,0
12,5,0,0
12,5,1,0.762935
12,5,2,0.806698
12,5,3,0.866787
12,5,4,0
12,6,0,0
12,6,1,0.695825
12,6,2,0.750785
12,6,3,0.823023
12,6,4,0
12,7,0,0
12,7,1,0.533449
12,7,2,0.626695
12,7,3,0.733682
12,7,4,0
12,8,0,0
12,8,1,0.317391
12,8,2,0.493482
12,8,3,0.651763
12,8,4,0
13,0,0,0
13,0,1,0
13,0,2,0
13,0,3,0
13,0,4,0
13,1,0,0
13,1,1,0.433393
13,1,2,0.559957
13,1,3,0.690696
13,1,4,0
13,2,0,0
13,2,1,0.620046
13,2,2,0.690696
13,2,3,0.778327
13,2,4,0
13,3,0,0
13,3,1,0.620046
13,3,2,0.690696
13,3,3,0.778327
13,3,4,0
13,4,0,0
13,4,1,0.620046
13,4,2,0.690696
13,4,3,0.778327
13,4,4,0
13,5,0,0
13,5,1,0.620046
13,5,2,0.690696
13,5,3,0.778327
13,5,4,0
13,6,0,0
13,6,1,0.620046
13,6,2,0.690696
13,6,3,0.778327
13,6,4,0
13,7,0,0
13,7,1,0.533449
13,7,2,0.626695
13,7,3,0.733682
13,7,4,0
13,8,0,0
13,8,1,0.317391
13,8,2,0.493482
13,8,3,0.651763
13,8,4,0
14,0,0,0
14,0,1,0
14,0,2,0
14,0,3,0
14,0,4,0
14,1,0,0
14,1,1,0.433393
14,1,2,0.559957
14,1,3,0.690696
14,1,4,0
14,2,0,0
14,2,1,0.433393
14,2,2,0.559957
14,2,3,0.690696
14,2,4,0
14,3,0,0
14,3,1,0.433393
14,3,2,0.559957
14,3,3,0.690696
14,3,4,0
14,4,0,0
14,4,1,0.433393
14,4,2,0.559957
14,4,3,0.690696
14,4,4,0
14,5,0,0
14,5,1,0.433393
14,5,2,0.559957
14,5,3,0.690696
14,5,4,0
14,6,0,0
14,6,1,0.433393
14,6,2,0.559957
14,6,3,0.690696
14,6,4,0
14,7,0,0
14,7,1,0.433393
14,7,2,0.559957
14,7,3,0.690696
14,7,4,0
14,8,0,0
14,8,1,0.317391
14,8,2,0.493482
14,8,3,0.651763
14,8,4,0
15,0,0,0
15,0,1,0
15,0,2,0
15,0,3,0
15,0,4,0
15,1,0,0
15,1,1,0.186652
15,1,2,0.433393
15,1,3,0.620046
15,1,4,0
15,2,0,0
15,2,1,0.186652
15,2,2,0.433393
15,2,3,0.620046
15,2,4,0
15,3,0,0
15,3,1,0.186652
15,3,2,0.433393
15,3,3,0.620046
15,3,4,0
15,4,0,0
15,4,1,0.186652
15,4,2,0.433393
15,4,3,0.620046
15,4,4,0
15,5,0,0
15,5,1,0.186652
15,5,2,0.433393
15,5,3,0.620046
15,5,4,0
15,6,0,0
15,6,1,0.186652
15,6,2,0.433393
15,6,3,0.620046
15,6,4,0
15,7,0,0
15,7,1,0.186652
15,7,2,0.433393
15,7,3,0.620046
15,7,4,0
15,8,0,0
15,8,1,0.186652
15,8,2,0.433393
15,8,3,0.620046
15,8,4,0
