minbound,shape,unit
-40,31,5
-100,18,5
0,8,5

IX,IY,IZ,value
0,0,0,0
0,0,1,0
0,0,2,0
0,0,3,0
0,0,4,0
0,0,5,0
0,0,6,0
0,0,7,0
0,1,0,0
0,1,1,0
0,1,2,0
0,1,3,0
0,1,4,0
0,1,5,0
0,1,6,0
0,1,7,0
0,2,0,0
0,2,1,0
0,2,2,0
0,2,3,0
0,2,4,0
0,2,5,0
0,2,6,0
0,2,7,0
0,3,0,0
0,3,1,0
0,3,2,0
0,3,3,0
0,3,4,0
0,3,5,0
0,3,6,0
0,3,7,0
0,4,0,0
0,4,1,0
0,4,2,0
0,4,3,0
0,4,4,0
0,4,5,0
0,4,6,0
0,4,7,0
0,5,0,0
0,5,1,0
0,5,2,0
0,5,3,0
0,5,4,0
0,5,5,0
0,5,6,0
0,5,7,0
0,6,0,0
0,6,1,0
0,6,2,0
0,6,3,0
0,6,4,0
0,6,5,0
0,6,6,0
0,6,7,0
0,7,0,0
0,7,1,0
0,7,2,0
0,7,3,0
0,7,4,0
0,7,5,0
0,7,6,0
0,7,7,0
0,8,0,0
0,8,1,0
0,8,2,0
0,8,3,0
0,8,4,0
0,8,5,0
0,8,6,0
0,8,7,0
0,9,0,0
0,9,1,0
0,9,2,0
0,9,3,0
0,9,4,0
0,9,5,0
0,9,6,0
0,9,7,0
0,10,0,0
0,10,1,0
0,10,2,0
0,10,3,0
0,10,4,0
0,10,5,0
0,10,6,0
0,10,7,0
0,11,0,0
0,11,1,0
0,11,2,0
0,11,3,0
0,11,4,0
0,11,5,0
0,11,6,0
0,11,7,0
0,12,0,0
0,12,1,0
0,12,2,0
0,12,3,0
0,12,4,0
0,12,5,0
0,12,6,0
0,12,7,0
0,13,0,0
0,13,1,0
0,13,2,0
0,13,3,0
0,13,4,0
0,13,5,0
0,13,6,0
0,13,7,0
0,14,0,0
0,14,1,0
0,14,2,0
0,14,3,0
0,14,4,0
0,14,5,0
0,14,6,0
0,14,7,0
0,15,0,0
0,15,1,0
0,15,2,0
0,15,3,0
0,15,4,0
0,15,5,0
0,15,6,0
0,15,7,0
0,16,0,0
0,16,1,0
0,16,2,0
0,16,3,0
0,16,4,0
0,16,5,0
0,16,6,0
0,16,7,0
0,17,0,0
0,17,1,0
0,17,2,0
0,17,3,0
0,17,4,0
0,17,5,0
0,17,6,0
0,17,7,0
1,0,0,0
1,0,1,0
1,0,2,0
1,0,3,0
1,0,4,0
1,0,5,0
1,0,6,0
1,0,7,0
1,1,0,0
1,1,1,0
1,1,2,0
1,1,3,0
1,1,4,0
1,1,5,0
1,1,6,0
1,1,7,0
1,2,0,0
1,2,1,1
1,2,2,0.833333
1,2,3,0.666667
1,2,4,0.5
1,2,5,0.333333
1,2,6,0.166667
1,2,7,0
1,3,0,0
1,3,1,1
1,3,2,0.833333
1,3,3,0.666667
1,3,4,0.5
1,3,5,0.333333
1,3,6,0.166667
1,3,7,0
1,4,0,0
1,4,1,1
1,4,2,0.833333
1,4,3,0.666667
1,4,4,0.5
1,4,5,0.333333
1,4,6,0.166667
1,4,7,0
1,5,0,0
1,5,1,1
1,5,2,0.833333
1,5,3,0.666667
1,5,4,0.5
1,5,5,0.333333
1,5,6,0.166667
1,5,7,0
1,6,0,0
1,6,1,1
1,6,2,0.833333
1,6,3,0.666667
1,6,4,0.5
1,6,5,0.333333
1,6,6,0.166667
1,6,7,0
1,7,0,0
1,7,1,1
1,7,2,0.833333
1,7,3,0.666667
1,7,4,0.5
1,7,5,0.333333
1,7,6,0.166667
1,7,7,0
1,8,0,0
1,8,1,1
1,8,2,0.833333
1,8,3,0.666667
1,8,4,0.5
1,8,5,0.333333
1,8,6,0.166667
1,8,7,0
1,9,0,0
1,9,1,1
1,9,2,0.833333
1,9,3,0.666667
1,9,4,0.5
1,9,5,0.333333
1,9,6,0.166667
1,9,7,0
1,10,0,0
1,10,1,1
1,10,2,0.833333
1,10,3,0.666667
1,10,4,0.5
1,10,5,0.333333
1,10,6,0.166667
1,10,7,0
1,11,0,0
1,11,1,1
1,11,2,0.833333
1,11,3,0.666667
1,11,4,0.5
1,11,5,0.333333
1,11,6,0.166667
1,11,7,0
1,12,0,0
1,12,1,1
1,12,2,0.833333
1,12,3,0.666667
1,12,4,0.5
1,12,5,0.333333
1,12,6,0.166667
1,12,7,0
1,13,0,0
1,13,1,1
1,13,2,0.833333
1,13,3,0.666667
1,13,4,0.5
1,13,5,0.333333
1,13,6,0.166667
1,13,7,0
1,14,0,0
1,14,1,1
1,14,2,0.833333
1,14,3,0.666667
1,14,4,0.5
1,14,5,0.333333
1,14,6,0.166667
1,14,7,0
1,15,0,0
1,15,1,0
1,15,2,0
1,15,3,0
1,15,4,0
1,15,5,0
1,15,6,0
1,15,7,0
1,16,0,0
1,16,1,0
1,16,2,0
1,16,3,0
1,16,4,0
1,16,5,0
1,16,6,0
1,16,7,0
1,17,0,0
1,17,1,0
1,17,2,0
1,17,3,0
1,17,4,0
1,17,5,0
1,17,6,0
1,17,7,0
2,0,0,0
2,0,1,0
2,0,2,0
2,0,3,0
2,0,4,0
2,0,5,0
2,0,6,0
2,0,7,0
2,1,0,0
2,1,1,0
2,1,2,0
2,1,3,0
2,1,4,0
2,1,5,0
2,1,6,0
2,1,7,0
2,2,0,0
2,2,1,1
2,2,2,0.833333
2,2,3,0.666667
2,2,4,0.5
2,2,5,0.333333
2,2,6,0.166667
2,2,7,0
2,3,0,0
2,3,1,1
2,3,2,0.833333
2,3,3,0.666667
2,3,4,0.5
2,3,5,0.333333
2,3,6,0.166667
2,3,7,0
2,4,0,0
2,4,1,1
2,4,2,0.833333
2,4,3,0.666667
2,4,4,0.5
2,4,5,0.333333
2,4,6,0.166667
2,4,7,0
2,5,0,0
2,5,1,1
2,5,2,0.833333
2,5,3,0.666667
2,5,4,0.5
2,5,5,0.333333
2,5,6,0.166667
2,5,7,0
2,6,0,0
2,6,1,1
2,6,2,0.833333
2,6,3,0.666667
2,6,4,0.5
2,6,5,0.333333
2,6,6,0.166667
2,6,7,0
2,7,0,0
2,7,1,1
2,7,2,0.833333
2,7,3,0.666667
2,7,4,0.5
2,7,5,0.333333
2,7,6,0.166667
2,7,7,0
2,8,0,0
2,8,1,1
2,8,2,0.833333
2,8,3,0.666667
2,8,4,0.5
2,8,5,0.333333
2,8,6,0.166667
2,8,7,0
2,9,0,0
2,9,1,1
2,9,2,0.833333
2,9,3,0.666667
2,9,4,0.5
2,9,5,0.333333
2,9,6,0.166667
2,9,7,0
2,10,0,0
2,10,1,1
2,10,2,0.833333
2,10,3,0.666667
2,10,4,0.5
2,10,5,0.333333
2,10,6,0.166667
2,10,7,0
2,11,0,0
2,11,1,1
2,11,2,0.833333
2,11,3,0.666667
2,11,4,0.5
2,11,5,0.333333
2,11,6,0.166667
2,11,7,0
2,12,0,0
2,12,1,1
2,12,2,0.833333
2,12,3,0.666667
2,12,4,0.5
2,12,5,0.333333
2,12,6,0.166667
2,12,7,0
2,13,0,0
2,13,1,1
2,13,2,0.833333
2,13,3,0.666667
2,13,4,0.5
2,13,5,0.333333
2,13,6,0.166667
2,13,7,0
2,14,0,0
2,14,1,1
2,14,2,0.833333
2,14,3,0.666667
2,14,4,0.5
2,14,5,0.333333
2,14,6,0.166667
2,14,7,0
2,15,0,0
2,15,1,1
2,15,2,0.833333
2,15,3,0.666667
2,15,4,0.5
2,15,5,0.333333
2,15,6,0.166667
2,15,7,0
2,16,0,0
2,16,1,1
2,16,2,0.833333
2,16,3,0.666667
2,16,4,0.5
2,16,5,0.333333
2,16,6,0.166667
2,16,7,0
2,17,0,0
2,17,1,0
2,17,2,0
2,17,3,0
2,17,4,0
2,17,5,0
2,17,6,0
2,17,7,0
3,0,0,0
3,0,1,0
3,0,2,0
3,0,3,0
3,0,4,0
3,0,5,0
3,0,6,0
3,0,7,0
3,1,0,0
3,1,1,0
3,1,2,0
3,1,3,0
3,1,4,0
3,1,5,0
3,1,6,0
3,1,7,0
3,2,0,0
3,2,1,1
3,2,2,0.833333
3,2,3,0.666667
3,2,4,0.5
3,2,5,0.333333
3,2,6,0.166667
3,2,7,0
3,3,0,0
3,3,1,1
3,3,2,0.833333
3,3,3,0.666667
3,3,4,0.5
3,3,5,0.333333
3,3,6,0.166667
3,3,7,0
3,4,0,0
3,4,1,1
3,4,2,0.833333
3,4,3,0.666667
3,4,4,0.5
3,4,5,0.333333
3,4,6,0.166667
3,4,7,0
3,5,0,0
3,5,1,1
3,5,2,0.833333
3,5,3,0.666667
3,5,4,0.5
3,5,5,0.333333
3,5,6,0.166667
3,5,7,0
3,6,0,0
3,6,1,1
3,6,2,0.833333
3,6,3,0.666667
3,6,4,0.5
3,6,5,0.333333
3,6,6,0.166667
3,6,7,0
3,7,0,0
3,7,1,1
3,7,2,0.833333
3,7,3,0.666667
3,7,4,0.5
3,7,5,0.333333
3,7,6,0.166667
3,7,7,0
3,8,0,0
3,8,1,1
3,8,2,0.833333
3,8,3,0.666667
3,8,4,0.5
3,8,5,0.333333
3,8,6,0.166667
3,8,7,0
3,9,0,0
3,9,1,1
3,9,2,0.833333
3,9,3,0.666667
3,9,4,0.5
3,9,5,0.333333
3,9,6,0.166667
3,9,7,0
3,10,0,0
3,10,1,1
3,10,2,0.833333
3,10,3,0.666667
3,10,4,0.5
3,10,5,0.333333
3,10,6,0.166667
3,10,7,0
3,11,0,0
3,11,1,1
3,11,2,0.833333
3,11,3,0.666667
3,11,4,0.5
3,11,5,0.333333
3,11,6,0.166667
3,11,7,0
3,12,0,0
3,12,1,1
3,12,2,0.833333
3,12,3,0.666667
3,12,4,0.5
3,12,5,0.333333
3,12,6,0.166667
3,12,7,0
3,13,0,0
3,13,1,1
3,13,2,0.833333
3,13,3,0.666667
3,13,4,0.5
3,13,5,0.333333
3,13,6,0.166667
3,13,7,0
3,14,0,0
3,14,1,1
3,14,2,0.833333
3,14,3,0.666667
3,14,4,0.5
3,14,5,0.333333
3,14,6,0.166667
3,14,7,0
3,15,0,0
3,15,1,1
3,15,2,0.833333
3,15,3,0.666667
3,15,4,0.5
3,15,5,0.333333
3,15,6,0.166667
3,15,7,0
3,16,0,0
3,16,1,1
3,16,2,0.833333
3,16,3,0.666667
3,16,4,0.5
3,16,5,0.333333
3,16,6,0.166667
3,16,7,0
3,17,0,0
3,17,1,0
3,17,2,0
3,17,3,0
3,17,4,0
3,17,5,0
3,17,6,0
3,17,7,0
4,0,0,0
4,0,1,0
4,0,2,0
4,0,3,0
4,0,4,0
4,0,5,0
4,0,6,0
4,0,7,0
4,1,0,0
4,1,1,0
4,1,2,0
4,1,3,0
4,1,4,0
4,1,5,0
4,1,6,0
4,1,7,0
4,2,0,0
4,2,1,1
4,2,2,0.833333
4,2,3,0.666667
4,2,4,0.5
4,2,5,0.333333
4,2,6,0.166667
4,2,7,0
4,3,0,0
4,3,1,1
4,3,2,0.833333
4,3,3,0.666667
4,3,4,0.5
4,3,5,0.333333
4,3,6,0.166667
4,3,7,0
4,4,0,0
4,4,1,1
4,4,2,0.833333
4,4,3,0.666667
4,4,4,0.5
4,4,5,0.333333
4,4,6,0.166667
4,4,7,0
4,5,0,0
4,5,1,1
4,5,2,0.833333
4,5,3,0.666667
4,5,4,0.5
4,5,5,0.333333
4,5,6,0.166667
4,5,7,0
4,6,0,0
4,6,1,1
4,6,2,0.833333
4,6,3,0.666667
4,6,4,0.5
4,6,5,0.333333
4,6,6,0.166667
4,6,7,0
4,7,0,0
4,7,1,1
4,7,2,0.833333
4,7,3,0.666667
4,7,4,0.5
4,7,5,0.333333
4,7,6,0.166667
4,7,7,0
4,8,0,0
4,8,1,1
4,8,2,0.833333
4,8,3,0.666667
4,8,4,0.5
4,8,5,0.333333
4,8,6,0.166667
4,8,7,0
4,9,0,0
4,9,1,1
4,9,2,0.833333
4,9,3,0.666667
4,9,4,0.5
4,9,5,0.333333
4,9,6,0.166667
4,9,7,0
4,10,0,0
4,10,1,1
4,10,2,0.833333
4,10,3,0.666667
4,10,4,0.5
4,10,5,0.333333
4,10,6,0.166667
4,10,7,0
4,11,0,0
4,11,1,1
4,11,2,0.833333
4,11,3,0.666667
4,11,4,0.5
4,11,5,0.333333
4,11,6,0.166667
4,11,7,0
4,12,0,0
4,12,1,1
4,12,2,0.833333
4,12,3,0.666667
4,12,4,0.5
4,12,5,0.333333
4,12,6,0.166667
4,12,7,0
4,13,0,0
4,13,1,1
4,13,2,0.833333
4,13,3,0.666667
4,13,4,0.5
4,13,5,0.333333
4,13,6,0.166667
4,13,7,0
4,14,0,0
4,14,1,1
4,14,2,0.833333
4,14,3,0.666667
4,14,4,0.5
4,14,5,0.333333
4,14,6,0.166667
4,14,7,0
4,15,0,0
4,15,1,1
4,15,2,0.833333
4,15,3,0.666667
4,15,4,0.5
4,15,5,0.333333
4,15,6,0.166667
4,15,7,0
4,16,0,0
4,16,1,1
4,16,2,0.833333
4,16,3,0.666667
4,16,4,0.5
4,16,5,0.333333
4,16,6,0.166667
4,16,7,0
4,17,0,0
4,17,1,0
4,17,2,0
4,17,3,0
4,17,4,0
4,17,5,0
4,17,6,0
4,17,7,0
5,0,0,0
5,0,1,0
5,0,2,0
5,0,3,0
5,0,4,0
5,0,5,0
5,0,6,0
5,0,7,0
5,1,0,0
5,1,1,1
5,1,2,0.833333
5,1,3,0.666667
5,1,4,0.5
5,1,5,0.333333
5,1,6,0.166667
5,1,7,0
5,2,0,0
5,2,1,1
5,2,2,0.833333
5,2,3,0.666667
5,2,4,0.5
5,2,5,0.333333
5,2,6,0.166667
5,2,7,0
5,3,0,0
5,3,1,1
5,3,2,0.833333
5,3,3,0.666667
5,3,4,0.5
5,3,5,0.333333
5,3,6,0.166667
5,3,7,0
5,4,0,0
5,4,1,1
5,4,2,0.833333
5,4,3,0.666667
5,4,4,0.5
5,4,5,0.333333
5,4,6,0.166667
5,4,7,0
5,5,0,0
5,5,1,1
5,5,2,0.833333
5,5,3,0.666667
5,5,4,0.5
5,5,5,0.333333
5,5,6,0.166667
5,5,7,0
5,6,0,0
5,6,1,1
5,6,2,0.833333
5,6,3,0.666667
5,6,4,0.5
5,6,5,0.333333
5,6,6,0.166667
5,6,7,0
5,7,0,0
5,7,1,1
5,7,2,0.833333
5,7,3,0.666667
5,7,4,0.5
5,7,5,0.333333
5,7,6,0.166667
5,7,7,0
5,8,0,0
5,8,1,1
5,8,2,0.833333
5,8,3,0.666667
5,8,4,0.5
5,8,5,0.333333
5,8,6,0.166667
5,8,7,0
5,9,0,0
5,9,1,1
5,9,2,0.833333
5,9,3,0.666667
5,9,4,0.5
5,9,5,0.333333
5,9,6,0.166667
5,9,7,0
5,10,0,0
5,10,1,1
5,10,2,0.833333
5,10,3,0.666667
5,10,4,0.5
5,10,5,0.333333
5,10,6,0.166667
5,10,7,0
5,11,0,0
5,11,1,1
5,11,2,0.833333
5,11,3,0.666667
5,11,4,0.5
5,11,5,0.333333
5,11,6,0.166667
5,11,7,0
5,12,0,0
5,12,1,1
5,12,2,0.833333
5,12,3,0.666667
5,12,4,0.5
5,12,5,0.333333
5,12,6,0.166667
5,12,7,0
5,13,0,0
5,13,1,1
5,13,2,0.833333
5,13,3,0.666667
