minbound,shape,unit
-40,16,10
-100,9,10
0,5,10

IX,IY,IZ,value
0,0,0,0
0,0,1,0
0,0,2,0
0,0,3,0
0,0,4,0
0,1,0,0
0,1,1,0
0,1,2,0
0,1,3,0
0,1,4,0
0,2,0,0
0,2,1,0
0,2,2,0
0,2,3,0
0,2,4,0
0,3,0,0
0,3,1,0
0,3,2,0
0,3,3,0
0,3,4,0
0,4,0,0
0,4,1,0
0,4,2,0
0,4,3,0
0,4,4,0
0,5,0,0
0,5,1,0
0,5,2,0
0,5,3,0
0,5,4,0
0,6,0,0
0,6,1,0
0,6,2,0
0,6,3,0
0,6,4,0
0,7,0,0
0,7,1,0
0,7,2,0
0,7,3,0
0,7,4,0
0,8,0,0
0,8,1,0
0,8,2,0
0,8,3,0
0,8,4,0
1,0,0,0
1,0,1,0
1,0,2,0
1,0,3,0
1,0,4,0
1,1,0,0
1,1,1,0.142857
1,1,2,0.246753
1,1,3,0.337662
1,1,4,0
1,2,0,0
1,2,1,0.0779221
1,2,2,0.266234
1,2,3,0.38961
1,2,4,0
1,3,0,0
1,3,1,0.0909091
1,3,2,0.279221
1,3,3,0.428571
1,3,4,0
1,4,0,0
1,4,1,0.0649351
1,4,2,0.318182
1,4,3,0.467532
1,4,4,0
1,5,0,0
1,5,1,0.0844156
1,5,2,0.331169
1,5,3,0.493506
1,5,4,0
1,6,0,0
1,6,1,0.0844156
1,6,2,0.38961
1,6,3,0.525974
1,6,4,0
1,7,0,0
1,7,1,0.12987
1,7,2,0.461039
1,7,3,0.577922
1,7,4,0
1,8,0,0
1,8,1,0.337662
1,8,2,0.571429
1,8,3,0.597403
1,8,4,0
2,0,0,0
2,0,1,0
2,0,2,0
2,0,3,0
2,0,4,0
2,1,0,0
2,1,1,0.175325
2,1,2,0.272727
2,1,3,0.318182
2,1,4,0
2,2,0,0
2,2,1,0.0974026
2,2,2,0.266234
2,2,3,0.350649
2,2,4,0
2,3,0,0
2,3,1,0.0649351
2,3,2,0.233766
2,3,3,0.37013
2,3,4,0
2,4,0,0
2,4,1,0.0324675
2,4,2,0.233766
2,4,3,0.396104
2,4,4,0
2,5,0,0
2,5,1,0.038961
2,5,2,0.298701
2,5,3,0.448052
2,5,4,0
2,6,0,0
2,6,1,0.0714286
2,6,2,0.37013
2,6,3,0.5
2,6,4,0
2,7,0,0
2,7,1,0.136364
2,7,2,0.512987
2,7,3,0.584416
2,7,4,0
2,8,0,0
2,8,1,0.363636
2,8,2,0.623377
2,8,3,0.62987
2,8,4,0
3,0,0,0
3,0,1,0
3,0,2,0
3,0,3,0
3,0,4,0
3,1,0,0
3,1,1,0.0779221
3,1,2,0.220779
3,1,3,0.292208
3,1,4,0
3,2,0,0
3,2,1,0.0844156
3,2,2,0.233766
3,2,3,0.298701
3,2,4,0
3,3,0,0
3,3,1,0.0779221
3,3,2,0.220779
3,3,3,0.331169
3,3,4,0
3,4,0,0
3,4,1,0.0454545
3,4,2,0.227273
3,4,3,0.363636
3,4,4,0
3,5,0,0
3,5,1,0.012987
3,5,2,0.285714
3,5,3,0.409091
3,5,4,0
3,6,0,0
3,6,1,0.0324675
3,6,2,0.350649
3,6,3,0.506494
3,6,4,0
3,7,0,0
3,7,1,0.12987
3,7,2,0.461039
3,7,3,0.564935
3,7,4,0
3,8,0,0
3,8,1,0.344156
3,8,2,0.603896
3,8,3,0.564935
3,8,4,0
4,0,0,0
4,0,1,0
4,0,2,0
4,0,3,0
4,0,4,0
4,1,0,0
4,1,1,0.0714286
4,1,2,0.220779
4,1,3,0.272727
4,1,4,0
4,2,0,0
4,2,1,0.0649351
4,2,2,0.188312
4,2,3,0.324675
4,2,4,0
4,3,0,0
4,3,1,0.0519481
4,3,2,0.207792
4,3,3,0.337662
4,3,4,0
4,4,0,0
4,4,1,0.025974
4,4,2,0.214286
4,4,3,0.357143
4,4,4,0
4,5,0,0
4,5,1,0.025974
4,5,2,0.253247
4,5,3,0.396104
4,5,4,0
4,6,0,0
4,6,1,0.0324675
4,6,2,0.324675
4,6,3,0.422078
4,6,4,0
4,7,0,0
4,7,1,0.116883
4,7,2,0.428571
4,7,3,0.558442
4,7,4,0
4,8,0,0
4,8,1,0.350649
4,8,2,0.597403
4,8,3,0.590909
4,8,4,0
5,0,0,0
5,0,1,0
5,0,2,0
5,0,3,0
5,0,4,0
5,1,0,0
5,1,1,0.0649351
5,1,2,0.207792
5,1,3,0.25974
5,1,4,0
5,2,0,0
5,2,1,0.0584416
5,2,2,0.175325
5,2,3,0.311688
5,2,4,0
5,3,0,0
5,3,1,0.038961
5,3,2,0.214286
5,3,3,0.344156
5,3,4,0
5,4,0,0
5,4,1,0.0324675
5,4,2,0.214286
5,4,3,0.376623
5,4,4,0
5,5,0,0
5,5,1,0
5,5,2,0
5,5,3,0
5,5,4,0
5,6,0,0
5,6,1,0
5,6,2,0
5,6,3,0
5,6,4,0
5,7,0,0
5,7,1,0
5,7,2,0
5,7,3,0
5,7,4,0
5,8,0,0
5,8,1,0
5,8,2,0
5,8,3,0
5,8,4,0
6,0,0,0
6,0,1,0
6,0,2,0
6,0,3,0
6,0,4,0
6,1,0,0
6,1,1,0.0519481
6,1,2,0.214286
6,1,3,0.246753
6,1,4,0
6,2,0,0
6,2,1,0.0584416
6,2,2,0.175325
6,2,3,0.305195
6,2,4,0
6,3,0,0
6,3,1,0.038961
6,3,2,0.207792
6,3,3,0.311688
6,3,4,0
6,4,0,0
6,4,1,0.0194805
6,4,2,0.181818
6,4,3,0.357143
6,4,4,0
6,5,0,0
6,5,1,0
6,5,2,0
6,5,3,0
6,5,4,0
6,6,0,0
6,6,1,0
6,6,2,0
6,6,3,0
6,6,4,0
6,7,0,0
6,7,1,0
6,7,2,0
6,7,3,0
6,7,4,0
6,8,0,0
6,8,1,0
6,8,2,0
6,8,3,0
6,8,4,0
7,0,0,0
7,0,1,0
7,0,2,0
7,0,3,0
7,0,4,0
7,1,0,0
7,1,1,0.0519481
7,1,2,0.207792
7,1,3,0.25974
7,1,4,0
7,2,0,0
7,2,1,0.038961
7,2,2,0.168831
7,2,3,0.298701
7,2,4,0
7,3,0,0
7,3,1,0.025974
7,3,2,0.175325
7,3,3,0.285714
7,3,4,0
7,4,0,0
7,4,1,0.025974
7,4,2,0.201299
7,4,3,0.363636
7,4,4,0
7,5,0,0
7,5,1,0
7,5,2,0
7,5,3,0
7,5,4,0
7,6,0,0
7,6,1,0
7,6,2,0
7,6,3,0
7,6,4,0
7,7,0,0
7,7,1,0
7,7,2,0
7,7,3,0
7,7,4,0
7,8,0,0
7,8,1,0
7,8,2,0
7,8,3,0
7,8,4,0
8,0,0,0
8,0,1,0
8,0,2,0
8,0,3,0
8,0,4,0
8,1,0,0
8,1,1,0.0454545
8,1,2,0.175325
8,1,3,0.25974
8,1,4,0
8,2,0,0
8,2,1,0.038961
8,2,2,0.188312
8,2,3,0.279221
8,2,4,0
8,3,0,0
8,3,1,0.0194805
8,3,2,0.168831
8,3,3,0.318182
8,3,4,0
8,4,0,0
8,4,1,0.0194805
8,4,2,0.201299
8,4,3,0.337662
8,4,4,0
8,5,0,0
8,5,1,0
8,5,2,0
8,5,3,0
8,5,4,0
8,6,0,0
8,6,1,0
8,6,2,0
8,6,3,0
8,6,4,0
8,7,0,0
8,7,1,0
8,7,2,0
8,7,3,0
8,7,4,0
8,8,0,0
8,8,1,0
8,8,2,0
8,8,3,0
8,8,4,0
9,0,0,0
9,0,1,0
9,0,2,0
9,0,3,0
9,0,4,0
9,1,0,0
9,1,1,0.0454545
9,1,2,0.175325
9,1,3,0.272727
9,1,4,0
9,2,0,0
9,2,1,0.0454545
9,2,2,0.181818
9,2,3,0.292208
9,2,4,0
9,3,0,0
9,3,1,0.0194805
9,3,2,0.149351
9,3,3,0.331169
9,3,4,0
9,4,0,0
9,4,1,0.0324675
9,4,2,0.168831
9,4,3,0.337662
9,4,4,0
9,5,0,0
9,5,1,0
9,5,2,0
9,5,3,0
9,5,4,0
9,6,0,0
9,6,1,0
9,6,2,0
9,6,3,0
9,6,4,0
9,7,0,0
9,7,1,0
9,7,2,0
9,7,3,0
9,7,4,0
9,8,0,0
9,8,1,0
9,8,2,0
9,8,3,0
9,8,4,0
10,0,0,0
10,0,1,0
10,0,2,0
10,0,3,0
10,0,4,0
10,1,0,0
10,1,1,0.038961
10,1,2,0.175325
10,1,3,0.25974
10,1,4,0
10,2,0,0
10,2,1,0.038961
10,2,2,0.149351
10,2,3,0.292208
10,2,4,0
10,3,0,0
10,3,1,0.025974
10,3,2,0.142857
10,3,3,0.311688
10,3,4,0
10,4,0,0
10,4,1,0.0324675
10,4,2,0.181818
10,4,3,0.337662
10,4,4,0
10,5,0,0
10,5,1,0.0324675
10,5,2,0.175325
10,5,3,0.350649
10,5,4,0
10,6,0,0
10,6,1,0.025974
10,6,2,0.201299
10,6,3,0.357143
10,6,4,0
10,7,0,0
10,7,1,0.0194805
10,7,2,0.266234
10,7,3,0.428571
10,7,4,0
10,8,0,0
10,8,1,0.0649351
10,8,2,0.337662
10,8,3,0.435065
10,8,4,0
11,0,0,0
11,0,1,0
11,0,2,0
11,0,3,0
11,0,4,0
11,1,0,0
11,1,1,0.0584416
11,1,2,0.155844
11,1,3,0.253247
11,1,4,0
11,2,0,0
11,2,1,0.0519481
11,2,2,0.142857
11,2,3,0.272727
11,2,4,0
11,3,0,0
11,3,1,0.0194805
11,3,2,0.12987
11,3,3,0.305195
11,3,4,0
11,4,0,0
11,4,1,0.038961
11,4,2,0.162338
11,4,3,0.344156
11,4,4,0
11,5,0,0
11,5,1,0.038961
11,5,2,0.162338
11,5,3,0.357143
11,5,4,0
11,6,0,0
11,6,1,0.0454545
11,6,2,0.207792
11,6,3,0.357143
11,6,4,0
11,7,0,0
11,7,1,0.0194805
11,7,2,0.253247
11,7,3,0.396104
11,7,4,0
11,8,0,0
11,8,1,0.0519481
11,8,2,0.324675
11,8,3,0.422078
11,8,4,0
12,0,0,0
12,0,1,0
12,0,2,0
12,0,3,0
12,0,4,0
12,1,0,0
12,1,1,0.0649351
12,1,2,0.168831
12,1,3,0.24026
12,1,4,0
12,2,0,0
12,2,1,0.0649351
12,2,2,0.155844
12,2,3,0.298701
12,2,4,0
12,3,0,0
12,3,1,0.0519481
12,3,2,0.12987
12,3,3,0.324675
12,3,4,0
12,4,0,0
12,4,1,0.0519481
12,4,2,0.149351
12,4,3,0.337662
12,4,4,0
12,5,0,0
12,5,1,0.0519481
12,5,2,0.175325
12,5,3,0.363636
12,5,4,0
12,6,0,0
12,6,1,0.0519481
12,6,2,0.194805
12,6,3,0.357143
12,6,4,0
12,7,0,0
12,7,1,0.0324675
12,7,2,0.246753
12,7,3,0.396104
12,7,4,0
12,8,0,0
12,8,1,0.0454545
12,8,2,0.298701
12,8,3,0.409091
12,8,4,0
13,0,0,0
13,0,1,0
13,0,2,0
13,0,3,0
13,0,4,0
13,1,0,0
13,1,1,0.0584416
13,1,2,0.162338
13,1,3,0.266234
13,1,4,0
13,2,0,0
13,2,1,0.0649351
13,2,2,0.168831
13,2,3,0.285714
13,2,4,0
13,3,0,0
13,3,1,0.0519481
13,3,2,0.142857
13,3,3,0.331169
13,3,4,0
13,4,0,0
13,4,1,0.0519481
13,4,2,0.136364
13,4,3,0.344156
13,4,4,0
13,5,0,0
13,5,1,0.0649351
13,5,2,0.175325
13,5,3,0.344156
13,5,4,0
13,6,0,0
13,6,1,0.0649351
13,6,2,0.214286
13,6,3,0.37013
13,6,4,0
13,7,0,0
13,7,1,0.038961
13,7,2,0.246753
13,7,3,0.396104
13,7,4,0
13,8,0,0
13,8,1,0.0519481
13,8,2,0.298701
13,8,3,0.415584
13,8,4,0
14,0,0,0
14,0,1,0
14,0,2,0
14,0,3,0
14,0,4,0
14,1,0,0
14,1,1,0.0584416
14,1,2,0.194805
14,1,3,0.272727
14,1,4,0
14,2,0,0
14,2,1,0.0649351
14,2,2,0.181818
14,2,3,0.285714
14,2,4,0
14,3,0,0
14,3,1,0.0519481
14,3,2,0.162338
14,3,3,0.337662
14,3,4,0
14,4,0,0
14,4,1,0.0454545
14,4,2,0.168831
14,4,3,0.357143
14,4,4,0
14,5,0,0
14,5,1,0.0649351
14,5,2,0.155844
14,5,3,0.350649
14,5,4,0
14,6,0,0
14,6,1,0.0454545
14,6,2,0.194805
14,6,3,0.357143
14,6,4,0
14,7,0,0
14,7,1,0.0454545
14,7,2,0.25974
14,7,3,0.409091
14,7,4,0
14,8,0,0
14,8,1,0.0714286
14,8,2,0.305195
14,8,3,0.409091
14,8,4,0
15,0,0,0
15,0,1,0
15,0,2,0
15,0,3,0
15,0,4,0
15,1,0,0
15,1,1,0.123377
15,1,2,0.233766
15,1,3,0.272727
15,1,4,0
15,2,0,0
15,2,1,0.0779221
15,2,2,0.207792
15,2,3,0.331169
15,2,4,0
15,3,0,0
15,3,1,0.0584416
15,3,2,0.181818
15,3,3,0.324675
15,3,4,0
15,4,0,0
15,4,1,0.0649351
15,4,2,0.181818
15,4,3,0.363636
15,4,4,0
15,5,0,0
15,5,1,0.0714286
15,5,2,0.194805
15,5,3,0.363636
15,5,4,0
15,6,0,0
15,6,1,0.0714286
15,6,2,0.220779
15,6,3,0.363636
15,6,4,0
15,7,0,0
15,7,1,0.0714286
15,7,2,0.285714
15,7,3,0.409091
15,7,4,0
15,8,0,0
15,8,1,0.0779221
15,8,2,0.318182
15,8,3,0.415584
15,8,4,0
