minbound,shape,unit
-40,16,10
-100,9,10
0,5,10

IX,IY,IZ,value
0,0,0,0
0,0,1,0
0,0,2,0
0,0,3,0
0,0,4,0
0,1,0,0
0,1,1,0
0,1,2,0
0,1,3,0
0,1,4,0
0,2,0,0
0,2,1,0
0,2,2,0
0,2,3,0
0,2,4,0
0,3,0,0
0,3,1,0
0,3,2,0
0,3,3,0
0,3,4,0
0,4,0,0
0,4,1,0
0,4,2,0
0,4,3,0
0,4,4,0
0,5,0,0
0,5,1,0
0,5,2,0
0,5,3,0
0,5,4,0
0,6,0,0
0,6,1,0
0,6,2,0
0,6,3,0
0,6,4,0
0,7,0,0
0,7,1,0
0,7,2,0
0,7,3,0
0,7,4,0
0,8,0,0
0,8,1,0
0,8,2,0
0,8,3,0
0,8,4,0
1,0,0,0
1,0,1,0
1,0,2,0
1,0,3,0
1,0,4,0
1,1,0,0
1,1,1,0.682493
1,1,2,0.866469
1,1,3,0.934718
1,1,4,0
1,2,0,0
1,2,1,0.792285
1,2,2,0.890208
1,2,3,0.949555
1,2,4,0
1,3,0,0
1,3,1,0.818991
1,3,2,0.893175
1,3,3,0.949555
1,3,4,0
1,4,0,0
1,4,1,0.830861
1,4,2,0.896142
1,4,3,0.949555
1,4,4,0
1,5,0,0
1,5,1,0.833828
1,5,2,0.910979
1,5,3,0.952522
1,5,4,0
1,6,0,0
1,6,1,0.827893
1,6,2,0.919881
1,6,3,0.958457
1,6,4,0
1,7,0,0
1,7,1,0.818991
1,7,2,0.922849
1,7,3,0.95549
1,7,4,0
1,8,0,0
1,8,1,0.72997
1,8,2,0.928783
1,8,3,0.95549
1,8,4,0
2,0,0,0
2,0,1,0
2,0,2,0
2,0,3,0
2,0,4,0
2,1,0,0
2,1,1,0.765579
2,1,2,0.88724
2,1,3,0.931751
2,1,4,0
2,2,0,0
2,2,1,0.783383
2,2,2,0.896142
2,2,3,0.94362
2,2,4,0
2,3,0,0
2,3,1,0.810089
2,3,2,0.893175
2,3,3,0.946588
2,3,4,0
2,4,0,0
2,4,1,0.824926
2,4,2,0.896142
2,4,3,0.946588
2,4,4,0
2,5,0,0
2,5,1,0.830861
2,5,2,0.916914
2,5,3,0.949555
2,5,4,0
2,6,0,0
2,6,1,0.818991
2,6,2,0.922849
2,6,3,0.952522
2,6,4,0
2,7,0,0
2,7,1,0.827893
2,7,2,0.925816
2,7,3,0.95549
2,7,4,0
2,8,0,0
2,8,1,0.789318
2,8,2,0.928783
2,8,3,0.95549
2,8,4,0
3,0,0,0
3,0,1,0
3,0,2,0
3,0,3,0
3,0,4,0
3,1,0,0
3,1,1,0.79822
3,1,2,0.878338
3,1,3,0.925816
3,1,4,0
3,2,0,0
3,2,1,0.79822
3,2,2,0.893175
3,2,3,0.937685
3,2,4,0
3,3,0,0
3,3,1,0.813056
3,3,2,0.88724
3,3,3,0.940653
3,3,4,0
3,4,0,0
3,4,1,0.830861
3,4,2,0.893175
3,4,3,0.946588
3,4,4,0
3,5,0,0
3,5,1,0.833828
3,5,2,0.908012
3,5,3,0.946588
3,5,4,0
3,6,0,0
3,6,1,0.824926
3,6,2,0.913947
3,6,3,0.946588
3,6,4,0
3,7,0,0
3,7,1,0.827893
3,7,2,0.916914
3,7,3,0.952522
3,7,4,0
3,8,0,0
3,8,1,0.830861
3,8,2,0.919881
3,8,3,0.95549
3,8,4,0
4,0,0,0
4,0,1,0
4,0,2,0
4,0,3,0
4,0,4,0
4,1,0,0
4,1,1,0.795252
4,1,2,0.875371
4,1,3,0.922849
4,1,4,0
4,2,0,0
4,2,1,0.807122
4,2,2,0.88724
4,2,3,0.937685
4,2,4,0
4,3,0,0
4,3,1,0.818991
4,3,2,0.863501
4,3,3,0.937685
4,3,4,0
4,4,0,0
4,4,1,0.830861
4,4,2,0.875371
4,4,3,0.940653
4,4,4,0
4,5,0,0
4,5,1,0.836795
4,5,2,0.902077
4,5,3,0.94362
4,5,4,0
4,6,0,0
4,6,1,0.824926
4,6,2,0.902077
4,6,3,0.946588
4,6,4,0
4,7,0,0
4,7,1,0.830861
4,7,2,0.908012
4,7,3,0.946588
4,7,4,0
4,8,0,0
4,8,1,0.836795
4,8,2,0.913947
4,8,3,0.95549
4,8,4,0
5,0,0,0
5,0,1,0
5,0,2,0
5,0,3,0
5,0,4,0
5,1,0,0
5,1,1,0.801187
5,1,2,0.863501
5,1,3,0.919881
5,1,4,0
5,2,0,0
5,2,1,0.804154
5,2,2,0.869436
5,2,3,0.934718
5,2,4,0
5,3,0,0
5,3,1,0.821958
5,3,2,0.869436
5,3,3,0.934718
5,3,4,0
5,4,0,0
5,4,1,0.833828
5,4,2,0.875371
5,4,3,0.940653
5,4,4,0
5,5,0,0
5,5,1,0
5,5,2,0
5,5,3,0
5,5,4,0
5,6,0,0
5,6,1,0
5,6,2,0
5,6,3,0
5,6,4,0
5,7,0,0
5,7,1,0
5,7,2,0
5,7,3,0
5,7,4,0
5,8,0,0
5,8,1,0
5,8,2,0
5,8,3,0
5,8,4,0
6,0,0,0
6,0,1,0
6,0,2,0
6,0,3,0
6,0,4,0
6,1,0,0
6,1,1,0.804154
6,1,2,0.866469
6,1,3,0.919881
6,1,4,0
6,2,0,0
6,2,1,0.807122
6,2,2,0.875371
6,2,3,0.934718
6,2,4,0
6,3,0,0
6,3,1,0.818991
6,3,2,0.866469
6,3,3,0.937685
6,3,4,0
6,4,0,0
6,4,1,0.836795
6,4,2,0.875371
6,4,3,0.934718
6,4,4,0
6,5,0,0
6,5,1,0
6,5,2,0
6,5,3,0
6,5,4,0
6,6,0,0
6,6,1,0
6,6,2,0
6,6,3,0
6,6,4,0
6,7,0,0
6,7,1,0
6,7,2,0
6,7,3,0
6,7,4,0
6,8,0,0
6,8,1,0
6,8,2,0
6,8,3,0
6,8,4,0
7,0,0,0
7,0,1,0
7,0,2,0
7,0,3,0
7,0,4,0
7,1,0,0
7,1,1,0.807122
7,1,2,0.863501
7,1,3,0.919881
7,1,4,0
7,2,0,0
7,2,1,0.810089
7,2,2,0.875371
7,2,3,0.934718
7,2,4,0
7,3,0,0
7,3,1,0.827893
7,3,2,0.872404
7,3,3,0.934718
7,3,4,0
7,4,0,0
7,4,1,0.833828
7,4,2,0.881306
7,4,3,0.934718
7,4,4,0
7,5,0,0
7,5,1,0
7,5,2,0
7,5,3,0
7,5,4,0
7,6,0,0
7,6,1,0
7,6,2,0
7,6,3,0
7,6,4,0
7,7,0,0
7,7,1,0
7,7,2,0
7,7,3,0
7,7,4,0
7,8,0,0
7,8,1,0
7,8,2,0
7,8,3,0
7,8,4,0
8,0,0,0
8,0,1,0
8,0,2,0
8,0,3,0
8,0,4,0
8,1,0,0
8,1,1,0.807122
8,1,2,0.863501
8,1,3,0.919881
8,1,4,0
8,2,0,0
8,2,1,0.79822
8,2,2,0.866469
8,2,3,0.928783
8,2,4,0
8,3,0,0
8,3,1,0.824926
8,3,2,0.872404
8,3,3,0.934718
8,3,4,0
8,4,0,0
8,4,1,0.833828
8,4,2,0.88724
8,4,3,0.937685
8,4,4,0
8,5,0,0
8,5,1,0
8,5,2,0
8,5,3,0
8,5,4,0
8,6,0,0
8,6,1,0
8,6,2,0
8,6,3,0
8,6,4,0
8,7,0,0
8,7,1,0
8,7,2,0
8,7,3,0
8,7,4,0
8,8,0,0
8,8,1,0
8,8,2,0
8,8,3,0
8,8,4,0
9,0,0,0
9,0,1,0
9,0,2,0
9,0,3,0
9,0,4,0
9,1,0,0
9,1,1,0.801187
9,1,2,0.857567
9,1,3,0.919881
9,1,4,0
9,2,0,0
9,2,1,0.804154
9,2,2,0.860534
9,2,3,0.925816
9,2,4,0
9,3,0,0
9,3,1,0.830861
9,3,2,0.875371
9,3,3,0.931751
9,3,4,0
9,4,0,0
9,4,1,0.839763
9,4,2,0.893175
9,4,3,0.937685
9,4,4,0
9,5,0,0
9,5,1,0
9,5,2,0
9,5,3,0
9,5,4,0
9,6,0,0
9,6,1,0
9,6,2,0
9,6,3,0
9,6,4,0
9,7,0,0
9,7,1,0
9,7,2,0
9,7,3,0
9,7,4,0
9,8,0,0
9,8,1,0
9,8,2,0
9,8,3,0
9,8,4,0
10,0,0,0
10,0,1,0
10,0,2,0
10,0,3,0
10,0,4,0
10,1,0,0
10,1,1,0.79822
10,1,2,0.854599
10,1,3,0.919881
10,1,4,0
10,2,0,0
10,2,1,0.813056
10,2,2,0.869436
10,2,3,0.925816
10,2,4,0
10,3,0,0
10,3,1,0.830861
10,3,2,0.878338
10,3,3,0.931751
10,3,4,0
10,4,0,0
10,4,1,0.833828
10,4,2,0.884273
10,4,3,0.934718
10,4,4,0
10,5,0,0
10,5,1,0.830861
10,5,2,0.89911
10,5,3,0.937685
10,5,4,0
10,6,0,0
10,6,1,0.827893
10,6,2,0.902077
10,6,3,0.937685
10,6,4,0
10,7,0,0
10,7,1,0.839763
10,7,2,0.905045
10,7,3,0.94362
10,7,4,0
10,8,0,0
10,8,1,0.854599
10,8,2,0.905045
10,8,3,0.94362
10,8,4,0
11,0,0,0
11,0,1,0
11,0,2,0
11,0,3,0
11,0,4,0
11,1,0,0
11,1,1,0.801187
11,1,2,0.851632
11,1,3,0.919881
11,1,4,0
11,2,0,0
11,2,1,0.804154
11,2,2,0.857567
11,2,3,0.922849
11,2,4,0
11,3,0,0
11,3,1,0.821958
11,3,2,0.875371
11,3,3,0.931751
11,3,4,0
11,4,0,0
11,4,1,0.830861
11,4,2,0.881306
11,4,3,0.934718
11,4,4,0
11,5,0,0
11,5,1,0.833828
11,5,2,0.896142
11,5,3,0.937685
11,5,4,0
11,6,0,0
11,6,1,0.833828
11,6,2,0.902077
11,6,3,0.940653
11,6,4,0
11,7,0,0
11,7,1,0.833828
11,7,2,0.896142
11,7,3,0.937685
11,7,4,0
11,8,0,0
11,8,1,0.845697
11,8,2,0.896142
11,8,3,0.940653
11,8,4,0
12,0,0,0
12,0,1,0
12,0,2,0
12,0,3,0
12,0,4,0
12,1,0,0
12,1,1,0.795252
12,1,2,0.851632
12,1,3,0.916914
12,1,4,0
12,2,0,0
12,2,1,0.795252
12,2,2,0.863501
12,2,3,0.922849
12,2,4,0
12,3,0,0
12,3,1,0.813056
12,3,2,0.872404
12,3,3,0.928783
12,3,4,0
12,4,0,0
12,4,1,0.824926
12,4,2,0.884273
12,4,3,0.937685
12,4,4,0
12,5,0,0
12,5,1,0.833828
12,5,2,0.896142
12,5,3,0.940653
12,5,4,0
12,6,0,0
12,6,1,0.827893
12,6,2,0.893175
12,6,3,0.937685
12,6,4,0
12,7,0,0
12,7,1,0.836795
12,7,2,0.905045
12,7,3,0.937685
12,7,4,0
12,8,0,0
12,8,1,0.845697
12,8,2,0.905045
12,8,3,0.94362
12,8,4,0
13,0,0,0
13,0,1,0
13,0,2,0
13,0,3,0
13,0,4,0
13,1,0,0
13,1,1,0.78635
13,1,2,0.845697
13,1,3,0.913947
13,1,4,0
13,2,0,0
13,2,1,0.804154
13,2,2,0.866469
13,2,3,0.925816
13,2,4,0
13,3,0,0
13,3,1,0.818991
13,3,2,0.869436
13,3,3,0.931751
13,3,4,0
13,4,0,0
13,4,1,0.824926
13,4,2,0.890208
13,4,3,0.931751
13,4,4,0
13,5,0,0
13,5,1,0.827893
13,5,2,0.89911
13,5,3,0.937685
13,5,4,0
13,6,0,0
13,6,1,0.821958
13,6,2,0.89911
13,6,3,0.937685
13,6,4,0
13,7,0,0
13,7,1,0.830861
13,7,2,0.902077
13,7,3,0.94362
13,7,4,0
13,8,0,0
13,8,1,0.848665
13,8,2,0.896142
13,8,3,0.94362
13,8,4,0
14,0,0,0
14,0,1,0
14,0,2,0
14,0,3,0
14,0,4,0
14,1,0,0
14,1,1,0.78635
14,1,2,0.860534
14,1,3,0.916914
14,1,4,0
14,2,0,0
14,2,1,0.795252
14,2,2,0.869436
14,2,3,0.919881
14,2,4,0
14,3,0,0
14,3,1,0.810089
14,3,2,0.875371
14,3,3,0.931751
14,3,4,0
14,4,0,0
14,4,1,0.813056
14,4,2,0.881306
14,4,3,0.931751
14,4,4,0
14,5,0,0
14,5,1,0.818991
14,5,2,0.890208
14,5,3,0.937685
14,5,4,0
14,6,0,0
14,6,1,0.821958
14,6,2,0.896142
14,6,3,0.937685
14,6,4,0
14,7,0,0
14,7,1,0.824926
14,7,2,0.893175
14,7,3,0.94362
14,7,4,0
14,8,0,0
14,8,1,0.845697
14,8,2,0.89911
14,8,3,0.946588
14,8,4,0
15,0,0,0
15,0,1,0
15,0,2,0
15,0,3,0
15,0,4,0
15,1,0,0
15,1,1,0.774481
15,1,2,0.857567
15,1,3,0.919881
15,1,4,0
15,2,0,0
15,2,1,0.783383
15,2,2,0.863501
15,2,3,0.922849
15,2,4,0
15,3,0,0
15,3,1,0.792285
15,3,2,0.866469
15,3,3,0.931751
15,3,4,0
15,4,0,0
15,4,1,0.801187
15,4,2,0.884273
15,4,3,0.934718
15,4,4,0
15,5,0,0
15,5,1,0.813056
15,5,2,0.890208
15,5,3,0.934718
15,5,4,0
15,6,0,0
15,6,1,0.821958
15,6,2,0.890208
15,6,3,0.937685
15,6,4,0
15,7,0,0
15,7,1,0.827893
15,7,2,0.893175
15,7,3,0.94362
15,7,4,0
15,8,0,0
15,8,1,0.836795
15,8,2,0.89911
15,8,3,0.940653
15,8,4,0
