minbound,shape,unit
-40,31,5
-100,18,5
0,8,5

IX,IY,IZ,value
0,0,0,0
0,0,1,0
0,0,2,0
0,0,3,0
0,0,4,0
0,0,5,0
0,0,6,0
0,0,7,0
0,1,0,0
0,1,1,0
0,1,2,0
0,1,3,0
0,1,4,0
0,1,5,0
0,1,6,0
0,1,7,0
0,2,0,0
0,2,1,0
0,2,2,0
0,2,3,0
0,2,4,0
0,2,5,0
0,2,6,0
0,2,7,0
0,3,0,0
0,3,1,0
0,3,2,0
0,3,3,0
0,3,4,0
0,3,5,0
0,3,6,0
0,3,7,0
0,4,0,0
0,4,1,0
0,4,2,0
0,4,3,0
0,4,4,0
0,4,5,0
0,4,6,0
0,4,7,0
0,5,0,0
0,5,1,0
0,5,2,0
0,5,3,0
0,5,4,0
0,5,5,0
0,5,6,0
0,5,7,0
0,6,0,0
0,6,1,0
0,6,2,0
0,6,3,0
0,6,4,0
0,6,5,0
0,6,6,0
0,6,7,0
0,7,0,0
0,7,1,0
0,7,2,0
0,7,3,0
0,7,4,0
0,7,5,0
0,7,6,0
0,7,7,0
0,8,0,0
0,8,1,0
0,8,2,0
0,8,3,0
0,8,4,0
0,8,5,0
0,8,6,0
0,8,7,0
0,9,0,0
0,9,1,0
0,9,2,0
0,9,3,0
0,9,4,0
0,9,5,0
0,9,6,0
0,9,7,0
0,10,0,0
0,10,1,0
0,10,2,0
0,10,3,0
0,10,4,0
0,10,5,0
0,10,6,0
0,10,7,0
0,11,0,0
0,11,1,0
0,11,2,0
0,11,3,0
0,11,4,0
0,11,5,0
0,11,6,0
0,11,7,0
0,12,0,0
0,12,1,0
0,12,2,0
0,12,3,0
0,12,4,0
0,12,5,0
0,12,6,0
0,12,7,0
0,13,0,0
0,13,1,0
0,13,2,0
0,13,3,0
0,13,4,0
0,13,5,0
0,13,6,0
0,13,7,0
0,14,0,0
0,14,1,0
0,14,2,0
0,14,3,0
0,14,4,0
0,14,5,0
0,14,6,0
0,14,7,0
0,15,0,0
0,15,1,0
0,15,2,0
0,15,3,0
0,15,4,0
0,15,5,0
0,15,6,0
0,15,7,0
0,16,0,0
0,16,1,0
0,16,2,0
0,16,3,0
0,16,4,0
0,16,5,0
0,16,6,0
0,16,7,0
0,17,0,0
0,17,1,0
0,17,2,0
0,17,3,0
0,17,4,0
0,17,5,0
0,17,6,0
0,17,7,0
1,0,0,0
1,0,1,0
1,0,2,0
1,0,3,0
1,0,4,0
1,0,5,0
1,0,6,0
1,0,7,0
1,1,0,0
1,1,1,0
1,1,2,0
1,1,3,0
1,1,4,0
1,1,5,0
1,1,6,0
1,1,7,0
1,2,0,0
1,2,1,0.170623
1,2,2,0.341247
1,2,3,0.38724
1,2,4,0.433235
1,2,5,0.450297
1,2,6,0.467359
1,2,7,0.23368
1,3,0,0
1,3,1,0.184347
1,3,2,0.368695
1,3,3,0.403932
1,3,4,0.439169
1,3,5,0.455119
1,3,6,0.471068
1,3,7,0.235534
1,4,0,0
1,4,1,0.198071
1,4,2,0.396143
1,4,3,0.420623
1,4,4,0.445104
1,4,5,0.459941
1,4,6,0.474778
1,4,7,0.237389
1,5,0,0
1,5,1,0.20141
1,5,2,0.402819
1,5,3,0.424332
1,5,4,0.445846
1,5,5,0.460312
1,5,6,0.474778
1,5,7,0.237389
1,6,0,0
1,6,1,0.204748
1,6,2,0.409496
1,6,3,0.428042
1,6,4,0.446588
1,6,5,0.460682
1,6,6,0.474778
1,6,7,0.237389
1,7,0,0
1,7,1,0.206232
1,7,2,0.412463
1,7,3,0.429896
1,7,4,0.447329
1,7,5,0.461053
1,7,6,0.474778
1,7,7,0.237389
1,8,0,0
1,8,1,0.207715
1,8,2,0.41543
1,8,3,0.431751
1,8,4,0.448071
1,8,5,0.461424
1,8,6,0.474778
1,8,7,0.237389
1,9,0,0
1,9,1,0.208086
1,9,2,0.416172
1,9,3,0.433976
1,9,4,0.45178
1,9,5,0.46365
1,9,6,0.475519
1,9,7,0.23776
1,10,0,0
1,10,1,0.208457
1,10,2,0.416914
1,10,3,0.436202
1,10,4,0.455489
1,10,5,0.465875
1,10,6,0.476261
1,10,7,0.23813
1,11,0,0
1,11,1,0.207715
1,11,2,0.41543
1,11,3,0.436573
1,11,4,0.457715
1,11,5,0.46773
1,11,6,0.477745
1,11,7,0.238872
1,12,0,0
1,12,1,0.206973
1,12,2,0.413946
1,12,3,0.436943
1,12,4,0.45994
1,12,5,0.469584
1,12,6,0.479229
1,12,7,0.239614
1,13,0,0
1,13,1,0.205861
1,13,2,0.411721
1,13,3,0.436202
1,13,4,0.460682
1,13,5,0.469585
1,13,6,0.478487
1,13,7,0.239243
1,14,0,0
1,14,1,0.204748
1,14,2,0.409496
1,14,3,0.43546
1,14,4,0.461425
1,14,5,0.469585
1,14,6,0.477745
1,14,7,0.238872
1,15,0,0
1,15,1,0
1,15,2,0
1,15,3,0
1,15,4,0
1,15,5,0
1,15,6,0
1,15,7,0
1,16,0,0
1,16,1,0
1,16,2,0
1,16,3,0
1,16,4,0
1,16,5,0
1,16,6,0
1,16,7,0
1,17,0,0
1,17,1,0
1,17,2,0
1,17,3,0
1,17,4,0
1,17,5,0
1,17,6,0
1,17,7,0
2,0,0,0
2,0,1,0
2,0,2,0
2,0,3,0
2,0,4,0
2,0,5,0
2,0,6,0
2,0,7,0
2,1,0,0
2,1,1,0
2,1,2,0
2,1,3,0
2,1,4,0
2,1,5,0
2,1,6,0
2,1,7,0
2,2,0,0
2,2,1,0.341247
2,2,2,0.682493
2,2,3,0.774481
2,2,4,0.866469
2,2,5,0.900594
2,2,6,0.934718
2,2,7,0.467359
2,3,0,0
2,3,1,0.368695
2,3,2,0.737389
2,3,3,0.807864
2,3,4,0.878339
2,3,5,0.910238
2,3,6,0.942137
2,3,7,0.471068
2,4,0,0
2,4,1,0.396143
2,4,2,0.792285
2,4,3,0.841247
2,4,4,0.890208
2,4,5,0.919882
2,4,6,0.949555
2,4,7,0.474778
2,5,0,0
2,5,1,0.402819
2,5,2,0.805638
2,5,3,0.848665
2,5,4,0.891692
2,5,5,0.920623
2,5,6,0.949555
2,5,7,0.474778
2,6,0,0
2,6,1,0.409496
2,6,2,0.818991
2,6,3,0.856083
2,6,4,0.893175
2,6,5,0.921365
2,6,6,0.949555
2,6,7,0.474778
2,7,0,0
2,7,1,0.412463
2,7,2,0.824926
2,7,3,0.859792
2,7,4,0.894659
2,7,5,0.922107
2,7,6,0.949555
2,7,7,0.474778
2,8,0,0
2,8,1,0.41543
2,8,2,0.830861
2,8,3,0.863501
2,8,4,0.896142
2,8,5,0.922848
2,8,6,0.949555
2,8,7,0.474778
2,9,0,0
2,9,1,0.416172
2,9,2,0.832345
2,9,3,0.867952
2,9,4,0.90356
2,9,5,0.927299
2,9,6,0.951039
2,9,7,0.475519
2,10,0,0
2,10,1,0.416914
2,10,2,0.833828
2,10,3,0.872403
2,10,4,0.910979
2,10,5,0.93175
2,10,6,0.952522
2,10,7,0.476261
2,11,0,0
2,11,1,0.41543
2,11,2,0.830861
2,11,3,0.873145
2,11,4,0.91543
2,11,5,0.93546
2,11,6,0.955489
2,11,7,0.477745
2,12,0,0
2,12,1,0.413946
2,12,2,0.827893
2,12,3,0.873887
2,12,4,0.919881
2,12,5,0.939169
2,12,6,0.958457
2,12,7,0.479229
2,13,0,0
2,13,1,0.411721
2,13,2,0.823442
2,13,3,0.872404
2,13,4,0.921365
2,13,5,0.939169
2,13,6,0.956973
2,13,7,0.478487
2,14,0,0
2,14,1,0.409496
2,14,2,0.818991
2,14,3,0.87092
2,14,4,0.922849
2,14,5,0.939169
2,14,6,0.95549
2,14,7,0.477745
2,15,0,0
2,15,1,0.38724
2,15,2,0.774481
2,15,3,0.850148
2,15,4,0.925816
2,15,5,0.940653
2,15,6,0.95549
2,15,7,0.477745
2,16,0,0
2,16,1,0.364985
2,16,2,0.72997
2,16,3,0.829376
2,16,4,0.928783
2,16,5,0.942136
2,16,6,0.95549
2,16,7,0.477745
2,17,0,0
2,17,1,0
2,17,2,0
2,17,3,0
2,17,4,0
2,17,5,0
2,17,6,0
2,17,7,0
3,0,0,0
3,0,1,0
3,0,2,0
3,0,3,0
3,0,4,0
3,0,5,0
3,0,6,0
3,0,7,0
3,1,0,0
3,1,1,0
3,1,2,0
3,1,3,0
3,1,4,0
3,1,5,0
3,1,6,0
3,1,7,0
3,2,0,0
3,2,1,0.362018
3,2,2,0.724036
3,2,3,0.800445
3,2,4,0.876855
3,2,5,0.905045
3,2,6,0.933234
3,2,7,0.466617
3,3,0,0
3,3,1,0.377968
3,3,2,0.755935
3,3,3,0.820475
3,3,4,0.885015
3,3,5,0.912463
3,3,6,0.939911
3,3,7,0.469956
3,4,0,0
3,4,1,0.393917
3,4,2,0.787834
3,4,3,0.840504
3,4,4,0.893175
3,4,5,0.919881
3,4,6,0.946588
3,4,7,0.473294
3,5,0,0
3,5,1,0.400594
3,5,2,0.801187
3,5,3,0.847181
3,5,4,0.893175
3,5,5,0.920252
3,5,6,0.947329
3,5,7,0.473665
3,6,0,0
3,6,1,0.40727
3,6,2,0.81454
3,6,3,0.853857
3,6,4,0.893175
3,6,5,0.920623
3,6,6,0.948071
3,6,7,0.474036
3,7,0,0
3,7,1,0.410608
3,7,2,0.821217
3,7,3,0.857938
3,7,4,0.894659
3,7,5,0.921365
3,7,6,0.948071
3,7,7,0.474036
3,8,0,0
3,8,1,0.413947
3,8,2,0.827894
3,8,3,0.862018
3,8,4,0.896142
3,8,5,0.922107
3,8,6,0.948071
3,8,7,0.474036
3,9,0,0
3,9,1,0.41506
3,9,2,0.830119
3,9,3,0.867582
3,9,4,0.905044
3,9,5,0.9273
3,9,6,0.949555
3,9,7,0.474778
3,10,0,0
3,10,1,0.416172
3,10,2,0.832345
3,10,3,0.873145
3,10,4,0.913946
3,10,5,0.932492
3,10,6,0.951039
3,10,7,0.475519
3,11,0,0
3,11,1,0.413947
3,11,2,0.827893
3,11,3,0.872775
3,11,4,0.917656
3,11,5,0.93546
3,11,6,0.953264
3,11,7,0.476632
3,12,0,0
3,12,1,0.411721
3,12,2,0.823442
3,12,3,0.872404
3,12,4,0.921365
3,12,5,0.938427
3,12,6,0.955489
3,12,7,0.477745
3,13,0,0
3,13,1,0.411721
3,13,2,0.823442
3,13,3,0.873145
3,13,4,0.922849
3,13,5,0.939169
3,13,6,0.95549
3,13,7,0.477745
3,14,0,0
3,14,1,0.411721
3,14,2,0.823442
3,14,3,0.873887
3,14,4,0.924333
3,14,5,0.939911
3,14,6,0.95549
3,14,7,0.477745
3,15,0,0
3,15,1,0.395771
3,15,2,0.791543
3,15,3,0.85905
3,15,4,0.926558
3,15,5,0.941024
3,15,6,0.95549
3,15,7,0.477745
3,16,0,0
3,16,1,0.379822
3,16,2,0.759644
3,16,3,0.844213
3,16,4,0.928783
3,16,5,0.942136
3,16,6,0.95549
3,16,7,0.477745
3,17,0,0
3,17,1,0
3,17,2,0
3,17,3,0
3,17,4,0
3,17,5,0
3,17,6,0
3,17,7,0
4,0,0,0
4,0,1,0
4,0,2,0
4,0,3,0
4,0,4,0
4,0,5,0
4,0,6,0
4,0,7,0
4,1,0,0
4,1,1,0
4,1,2,0
4,1,3,0
4,1,4,0
4,1,5,0
4,1,6,0
4,1,7,0
4,2,0,0
4,2,1,0.38279
4,2,2,0.765579
4,2,3,0.82641
4,2,4,0.88724
4,2,5,0.909496
4,2,6,0.931751
4,2,7,0.465875
4,3,0,0
4,3,1,0.38724
4,3,2,0.774481
4,3,3,0.833086
4,3,4,0.891691
4,3,5,0.914688
4,3,6,0.937685
4,3,7,0.468843
4,4,0,0
4,4,1,0.391692
4,4,2,0.783383
4,4,3,0.839762
4,4,4,0.896142
4,4,5,0.919881
4,4,6,0.94362
4,4,7,0.47181
4,5,0,0
4,5,1,0.398368
4,5,2,0.796736
4,5,3,0.845697
4,5,4,0.894659
4,5,5,0.919881
4,5,6,0.945104
4,5,7,0.472552
4,6,0,0
4,6,1,0.405044
4,6,2,0.810089
4,6,3,0.851632
4,6,4,0.893175
4,6,5,0.919882
4,6,6,0.946588
4,6,7,0.473294
4,7,0,0
4,7,1,0.408754
4,7,2,0.817508
4,7,3,0.856083
4,7,4,0.894659
4,7,5,0.920623
4,7,6,0.946588
4,7,7,0.473294
4,8,0,0
4,8,1,0.412463
4,8,2,0.824926
4,8,3,0.860534
4,8,4,0.896142
4,8,5,0.921365
4,8,6,0.946588
4,8,7,0.473294
4,9,0,0
4,9,1,0.413947
4,9,2,0.827894
4,9,3,0.867211
4,9,4,0.906528
4,9,5,0.9273
4,9,6,0.948071
4,9,7,0.474036
4,10,0,0
4,10,1,0.41543
4,10,2,0.830861
4,10,3,0.873887
4,10,4,0.916914
4,10,5,0.933234
4,10,6,0.949555
4,10,7,0.474778
4,11,0,0
4,11,1,0.412463
4,11,2,0.824926
4,11,3,0.872404
4,11,4,0.919882
4,11,5,0.93546
4,11,6,0.951039
4,11,7,0.475519
4,12,0,0
4,12,1,0.409496
4,12,2,0.818991
4,12,3,0.87092
4,12,4,0.922849
4,12,5,0.937685
4,12,6,0.952522
4,12,7,0.476261
4,13,0,0
4,13,1,0.411721
4,13,2,0.823442
4,13,3,0.873887
4,13,4,0.924333
4,13,5,0.939169
4,13,6,0.954006
4,13,7,0.477003
4,14,0,0
4,14,1,0.413946
4,14,2,0.827893
4,14,3,0.876854
4,14,4,0.925816
4,14,5,0.940653
4,14,6,0.95549
4,14,7,0.477745
4,15,0,0
4,15,1,0.404303
4,15,2,0.808605
4,15,3,0.867953
4,15,4,0.927299
4,15,5,0.941395
4,15,6,0.95549
4,15,7,0.477745
4,16,0,0
4,16,1,0.394659
4,16,2,0.789318
4,16,3,0.85905
4,16,4,0.928783
4,16,5,0.942136
4,16,6,0.95549
4,16,7,0.477745
4,17,0,0
4,17,1,0
4,17,2,0
4,17,3,0
4,17,4,0
4,17,5,0
4,17,6,0
4,17,7,0
5,0,0,0
5,0,1,0
5,0,2,0
5,0,3,0
5,0,4,0
5,0,5,0
5,0,6,0
5,0,7,0
5,1,0,0
5,1,1,0.195475
5,1,2,0.39095
5,1,3,0.416172
5,1,4,0.441395
5,1,5,0.452893
5,1,6,0.464392
5,1,7,0.232196
5,2,0,0
5,2,1,0.39095
5,2,2,0.781899
5,2,3,0.832344
5,2,4,0.882789
5,2,5,0.905786
5,2,6,0.928783
5,2,7,0.464392
5,3,0,0
5,3,1,0.393175
5,3,2,0.786351
5,3,3,0.837537
5,3,4,0.888724
5,3,5,0.911721
5,3,6,0.934718
5,3,7,0.467359
5,4,0,0
5,4,1,0.395401
5,4,2,0.790802
5,4,3,0.84273
5,4,4,0.894659
5,4,5,0.917655
5,4,6,0.940653
5,4,7,0.470326
5,5,0,0
5,5,1,0.400593
5,5,2,0.801187
5,5,3,0.84681
5,5,4,0.892433
5,5,5,0.917285
5,5,6,0.942136
5,5,7,0.471068
5,6,0,0
5,6,1,0.405786
5,6,2,0.811573
5,6,3,0.85089
5,6,4,0.890208
5,6,5,0.916914
5,6,6,0.94362
5,6,7,0.47181
5,7,0,0
5,7,1,0.409867
5,7,2,0.819733
5,7,3,0.856083
5,7,4,0.892433
5,7,5,0.918769
