minbound,shape,unit
-40,31,5
-100,18,5
0,8,5

IX,IY,IZ,value
0,0,0,0
0,0,1,0
0,0,2,0
0,0,3,0
0,0,4,0
0,0,5,0
0,0,6,0
0,0,7,0
0,1,0,0
0,1,1,0
0,1,2,0
0,1,3,0
0,1,4,0
0,1,5,0
0,1,6,0
0,1,7,0
0,2,0,0
0,2,1,0
0,2,2,0
0,2,3,0
0,2,4,0
0,2,5,0
0,2,6,0
0,2,7,0
0,3,0,0
0,3,1,0
0,3,2,0
0,3,3,0
0,3,4,0
0,3,5,0
0,3,6,0
0,3,7,0
0,4,0,0
0,4,1,0
0,4,2,0
0,4,3,0
0,4,4,0
0,4,5,0
0,4,6,0
0,4,7,0
0,5,0,0
0,5,1,0
0,5,2,0
0,5,3,0
0,5,4,0
0,5,5,0
0,5,6,0
0,5,7,0
0,6,0,0
0,6,1,0
0,6,2,0
0,6,3,0
0,6,4,0
0,6,5,0
0,6,6,0
0,6,7,0
0,7,0,0
0,7,1,0
0,7,2,0
0,7,3,0
0,7,4,0
0,7,5,0
0,7,6,0
0,7,7,0
0,8,0,0
0,8,1,0
0,8,2,0
0,8,3,0
0,8,4,0
0,8,5,0
0,8,6,0
0,8,7,0
0,9,0,0
0,9,1,0
0,9,2,0
0,9,3,0
0,9,4,0
0,9,5,0
0,9,6,0
0,9,7,0
0,10,0,0
0,10,1,0
0,10,2,0
0,10,3,0
0,10,4,0
0,10,5,0
0,10,6,0
0,10,7,0
0,11,0,0
0,11,1,0
0,11,2,0
0,11,3,0
0,11,4,0
0,11,5,0
0,11,6,0
0,11,7,0
0,12,0,0
0,12,1,0
0,12,2,0
0,12,3,0
0,12,4,0
0,12,5,0
0,12,6,0
0,12,7,0
0,13,0,0
0,13,1,0
0,13,2,0
0,13,3,0
0,13,4,0
0,13,5,0
0,13,6,0
0,13,7,0
0,14,0,0
0,14,1,0
0,14,2,0
0,14,3,0
0,14,4,0
0,14,5,0
0,14,6,0
0,14,7,0
0,15,0,0
0,15,1,0
0,15,2,0
0,15,3,0
0,15,4,0
0,15,5,0
0,15,6,0
0,15,7,0
0,16,0,0
0,16,1,0
0,16,2,0
0,16,3,0
0,16,4,0
0,16,5,0
0,16,6,0
0,16,7,0
0,17,0,0
0,17,1,0
0,17,2,0
0,17,3,0
0,17,4,0
0,17,5,0
0,17,6,0
0,17,7,0
1,0,0,0
1,0,1,0
1,0,2,0
1,0,3,0
1,0,4,0
1,0,5,0
1,0,6,0
1,0,7,0
1,1,0,0
1,1,1,0
1,1,2,0
1,1,3,0
1,1,4,0
1,1,5,0
1,1,6,0
1,1,7,0
1,2,0,0
1,2,1,0.112013
1,2,2,0.224026
1,2,3,0.321429
1,2,4,0.418831
1,2,5,0.443182
1,2,6,0.467532
1,2,7,0.233766
1,3,0,0
1,3,1,0.144481
1,3,2,0.288961
1,3,3,0.358766
1,3,4,0.428571
1,3,5,0.449675
1,3,6,0.470779
1,3,7,0.23539
1,4,0,0
1,4,1,0.176948
1,4,2,0.353896
1,4,3,0.396104
1,4,4,0.438312
1,4,5,0.456169
1,4,6,0.474026
1,4,7,0.237013
1,5,0,0
1,5,1,0.18263
1,5,2,0.36526
1,5,3,0.405032
1,5,4,0.444805
1,5,5,0.460227
1,5,6,0.475649
1,5,7,0.237825
1,6,0,0
1,6,1,0.188312
1,6,2,0.376623
1,6,3,0.413961
1,6,4,0.451299
1,6,5,0.464286
1,6,6,0.477273
1,6,7,0.238636
1,7,0,0
1,7,1,0.188312
1,7,2,0.376623
1,7,3,0.417208
1,7,4,0.457792
1,7,5,0.471591
1,7,6,0.48539
1,7,7,0.242695
1,8,0,0
1,8,1,0.188312
1,8,2,0.376623
1,8,3,0.420455
1,8,4,0.464286
1,8,5,0.478896
1,8,6,0.493506
1,8,7,0.246753
1,9,0,0
1,9,1,0.193182
1,9,2,0.386364
1,9,3,0.426948
1,9,4,0.467532
1,9,5,0.480519
1,9,6,0.493506
1,9,7,0.246753
1,10,0,0
1,10,1,0.198052
1,10,2,0.396104
1,10,3,0.433442
1,10,4,0.470779
1,10,5,0.482143
1,10,6,0.493506
1,10,7,0.246753
1,11,0,0
1,11,1,0.199675
1,11,2,0.399351
1,11,3,0.435877
1,11,4,0.472403
1,11,5,0.482955
1,11,6,0.493506
1,11,7,0.246753
1,12,0,0
1,12,1,0.201299
1,12,2,0.402597
1,12,3,0.438312
1,12,4,0.474026
1,12,5,0.483766
1,12,6,0.493506
1,12,7,0.246753
1,13,0,0
1,13,1,0.203734
1,13,2,0.407468
1,13,3,0.441558
1,13,4,0.475649
1,13,5,0.484578
1,13,6,0.493506
1,13,7,0.246753
1,14,0,0
1,14,1,0.206169
1,14,2,0.412338
1,14,3,0.444805
1,14,4,0.477273
1,14,5,0.48539
1,14,6,0.493506
1,14,7,0.246753
1,15,0,0
1,15,1,0
1,15,2,0
1,15,3,0
1,15,4,0
1,15,5,0
1,15,6,0
1,15,7,0
1,16,0,0
1,16,1,0
1,16,2,0
1,16,3,0
1,16,4,0
1,16,5,0
1,16,6,0
1,16,7,0
1,17,0,0
1,17,1,0
1,17,2,0
1,17,3,0
1,17,4,0
1,17,5,0
1,17,6,0
1,17,7,0
2,0,0,0
2,0,1,0
2,0,2,0
2,0,3,0
2,0,4,0
2,0,5,0
2,0,6,0
2,0,7,0
2,1,0,0
2,1,1,0
2,1,2,0
2,1,3,0
2,1,4,0
2,1,5,0
2,1,6,0
2,1,7,0
2,2,0,0
2,2,1,0.224026
2,2,2,0.448052
2,2,3,0.642857
2,2,4,0.837662
2,2,5,0.886364
2,2,6,0.935065
2,2,7,0.467532
2,3,0,0
2,3,1,0.288961
2,3,2,0.577922
2,3,3,0.717532
2,3,4,0.857143
2,3,5,0.899351
2,3,6,0.941558
2,3,7,0.470779
2,4,0,0
2,4,1,0.353896
2,4,2,0.707792
2,4,3,0.792208
2,4,4,0.876623
2,4,5,0.912338
2,4,6,0.948052
2,4,7,0.474026
2,5,0,0
2,5,1,0.36526
2,5,2,0.730519
2,5,3,0.810065
2,5,4,0.88961
2,5,5,0.920455
2,5,6,0.951299
2,5,7,0.475649
2,6,0,0
2,6,1,0.376623
2,6,2,0.753247
2,6,3,0.827922
2,6,4,0.902597
2,6,5,0.928571
2,6,6,0.954545
2,6,7,0.477273
2,7,0,0
2,7,1,0.376623
2,7,2,0.753247
2,7,3,0.834416
2,7,4,0.915584
2,7,5,0.943182
2,7,6,0.970779
2,7,7,0.48539
2,8,0,0
2,8,1,0.376623
2,8,2,0.753247
2,8,3,0.840909
2,8,4,0.928571
2,8,5,0.957792
2,8,6,0.987013
2,8,7,0.493506
2,9,0,0
2,9,1,0.386364
2,9,2,0.772727
2,9,3,0.853896
2,9,4,0.935065
2,9,5,0.961039
2,9,6,0.987013
2,9,7,0.493506
2,10,0,0
2,10,1,0.396104
2,10,2,0.792208
2,10,3,0.866883
2,10,4,0.941558
2,10,5,0.964286
2,10,6,0.987013
2,10,7,0.493506
2,11,0,0
2,11,1,0.399351
2,11,2,0.798701
2,11,3,0.871753
2,11,4,0.944805
2,11,5,0.965909
2,11,6,0.987013
2,11,7,0.493506
2,12,0,0
2,12,1,0.402597
2,12,2,0.805195
2,12,3,0.876623
2,12,4,0.948052
2,12,5,0.967532
2,12,6,0.987013
2,12,7,0.493506
2,13,0,0
2,13,1,0.407468
2,13,2,0.814935
2,13,3,0.883117
2,13,4,0.951299
2,13,5,0.969156
2,13,6,0.987013
2,13,7,0.493506
2,14,0,0
2,14,1,0.412338
2,14,2,0.824675
2,14,3,0.88961
2,14,4,0.954545
2,14,5,0.970779
2,14,6,0.987013
2,14,7,0.493506
2,15,0,0
2,15,1,0.399351
2,15,2,0.798701
2,15,3,0.878247
2,15,4,0.957792
2,15,5,0.972403
2,15,6,0.987013
2,15,7,0.493506
2,16,0,0
2,16,1,0.386364
2,16,2,0.772727
2,16,3,0.866883
2,16,4,0.961039
2,16,5,0.974026
2,16,6,0.987013
2,16,7,0.493506
2,17,0,0
2,17,1,0
2,17,2,0
2,17,3,0
2,17,4,0
2,17,5,0
2,17,6,0
2,17,7,0
3,0,0,0
3,0,1,0
3,0,2,0
3,0,3,0
3,0,4,0
3,0,5,0
3,0,6,0
3,0,7,0
3,1,0,0
3,1,1,0
3,1,2,0
3,1,3,0
3,1,4,0
3,1,5,0
3,1,6,0
3,1,7,0
3,2,0,0
3,2,1,0.266234
3,2,2,0.532468
3,2,3,0.680195
3,2,4,0.827922
3,2,5,0.878247
3,2,6,0.928571
3,2,7,0.464286
3,3,0,0
3,3,1,0.311688
3,3,2,0.623377
3,3,3,0.736201
3,3,4,0.849026
3,3,5,0.892045
3,3,6,0.935065
3,3,7,0.467532
3,4,0,0
3,4,1,0.357143
3,4,2,0.714286
3,4,3,0.792208
3,4,4,0.87013
3,4,5,0.905844
3,4,6,0.941558
3,4,7,0.470779
3,5,0,0
3,5,1,0.366071
3,5,2,0.732143
3,5,3,0.808442
3,5,4,0.88474
3,5,5,0.916396
3,5,6,0.948052
3,5,7,0.474026
3,6,0,0
3,6,1,0.375
3,6,2,0.75
3,6,3,0.824675
3,6,4,0.899351
3,6,5,0.926948
3,6,6,0.954545
3,6,7,0.477273
3,7,0,0
3,7,1,0.377435
3,7,2,0.75487
3,7,3,0.832792
3,7,4,0.910714
3,7,5,0.939935
3,7,6,0.969156
3,7,7,0.484578
3,8,0,0
3,8,1,0.37987
3,8,2,0.75974
3,8,3,0.840909
3,8,4,0.922078
3,8,5,0.952922
3,8,6,0.983766
3,8,7,0.491883
3,9,0,0
3,9,1,0.387175
3,9,2,0.774351
3,9,3,0.852273
3,9,4,0.930195
3,9,5,0.956981
3,9,6,0.983766
3,9,7,0.491883
3,10,0,0
3,10,1,0.394481
3,10,2,0.788961
3,10,3,0.863636
3,10,4,0.938312
3,10,5,0.961039
3,10,6,0.983766
3,10,7,0.491883
3,11,0,0
3,11,1,0.398539
3,11,2,0.797078
3,11,3,0.869318
3,11,4,0.941558
3,11,5,0.962662
3,11,6,0.983766
3,11,7,0.491883
3,12,0,0
3,12,1,0.402597
3,12,2,0.805195
3,12,3,0.875
3,12,4,0.944805
3,12,5,0.964286
3,12,6,0.983766
3,12,7,0.491883
3,13,0,0
3,13,1,0.407468
3,13,2,0.814935
3,13,3,0.880682
3,13,4,0.946429
3,13,5,0.965097
3,13,6,0.983766
3,13,7,0.491883
3,14,0,0
3,14,1,0.412338
3,14,2,0.824675
3,14,3,0.886364
3,14,4,0.948052
3,14,5,0.965909
3,14,6,0.983766
3,14,7,0.491883
3,15,0,0
3,15,1,0.407468
3,15,2,0.814935
3,15,3,0.883929
3,15,4,0.952922
3,15,5,0.968344
3,15,6,0.983766
3,15,7,0.491883
3,16,0,0
3,16,1,0.402597
3,16,2,0.805195
3,16,3,0.881494
3,16,4,0.957792
3,16,5,0.970779
3,16,6,0.983766
3,16,7,0.491883
3,17,0,0
3,17,1,0
3,17,2,0
3,17,3,0
3,17,4,0
3,17,5,0
3,17,6,0
3,17,7,0
4,0,0,0
4,0,1,0
4,0,2,0
4,0,3,0
4,0,4,0
4,0,5,0
4,0,6,0
4,0,7,0
4,1,0,0
4,1,1,0
4,1,2,0
4,1,3,0
4,1,4,0
4,1,5,0
4,1,6,0
4,1,7,0
4,2,0,0
4,2,1,0.308442
4,2,2,0.616883
4,2,3,0.717532
4,2,4,0.818182
4,2,5,0.87013
4,2,6,0.922078
4,2,7,0.461039
4,3,0,0
4,3,1,0.334416
4,3,2,0.668831
4,3,3,0.75487
4,3,4,0.840909
4,3,5,0.88474
4,3,6,0.928571
4,3,7,0.464286
4,4,0,0
4,4,1,0.36039
4,4,2,0.720779
4,4,3,0.792208
4,4,4,0.863636
4,4,5,0.899351
4,4,6,0.935065
4,4,7,0.467532
4,5,0,0
4,5,1,0.366883
4,5,2,0.733766
4,5,3,0.806818
4,5,4,0.87987
4,5,5,0.912338
4,5,6,0.944805
4,5,7,0.472403
4,6,0,0
4,6,1,0.373377
4,6,2,0.746753
4,6,3,0.821429
4,6,4,0.896104
4,6,5,0.925325
4,6,6,0.954545
4,6,7,0.477273
4,7,0,0
4,7,1,0.378247
4,7,2,0.756494
4,7,3,0.831169
4,7,4,0.905844
4,7,5,0.936688
4,7,6,0.967532
4,7,7,0.483766
4,8,0,0
4,8,1,0.383117
4,8,2,0.766234
4,8,3,0.840909
4,8,4,0.915584
4,8,5,0.948052
4,8,6,0.980519
4,8,7,0.49026
4,9,0,0
4,9,1,0.387987
4,9,2,0.775974
4,9,3,0.850649
4,9,4,0.925325
4,9,5,0.952922
4,9,6,0.980519
4,9,7,0.49026
4,10,0,0
4,10,1,0.392857
4,10,2,0.785714
4,10,3,0.86039
4,10,4,0.935065
4,10,5,0.957792
4,10,6,0.980519
4,10,7,0.49026
4,11,0,0
4,11,1,0.397727
4,11,2,0.795455
4,11,3,0.866883
4,11,4,0.938312
4,11,5,0.959416
4,11,6,0.980519
4,11,7,0.49026
4,12,0,0
4,12,1,0.402597
4,12,2,0.805195
4,12,3,0.873377
4,12,4,0.941558
4,12,5,0.961039
4,12,6,0.980519
4,12,7,0.49026
4,13,0,0
4,13,1,0.407468
4,13,2,0.814935
4,13,3,0.878247
4,13,4,0.941558
4,13,5,0.961039
4,13,6,0.980519
4,13,7,0.49026
4,14,0,0
4,14,1,0.412338
4,14,2,0.824675
4,14,3,0.883117
4,14,4,0.941558
4,14,5,0.961039
4,14,6,0.980519
4,14,7,0.49026
4,15,0,0
4,15,1,0.415584
4,15,2,0.831169
4,15,3,0.88961
4,15,4,0.948052
4,15,5,0.964286
4,15,6,0.980519
4,15,7,0.49026
4,16,0,0
4,16,1,0.418831
4,16,2,0.837662
4,16,3,0.896104
4,16,4,0.954545
4,16,5,0.967532
4,16,6,0.980519
4,16,7,0.49026
4,17,0,0
4,17,1,0
4,17,2,0
4,17,3,0
4,17,4,0
4,17,5,0
4,17,6,0
4,17,7,0
5,0,0,0
5,0,1,0
5,0,2,0
5,0,3,0
5,0,4,0
5,0,5,0
5,0,6,0
5,0,7,0
5,1,0,0
5,1,1,0.163149
5,1,2,0.326299
5,1,3,0.366071
5,1,4,0.405844
5,1,5,0.43263
5,1,6,0.459416
5,1,7,0.229708
5,2,0,0
5,2,1,0.326299
5,2,2,0.652597
5,2,3,0.732143
5,2,4,0.811688
5,2,5,0.86526
5,2,6,0.918831
5,2,7,0.459416
5,3,0,0
5,3,1,0.344968
5,3,2,0.689935
5,3,3,0.762175
5,3,4,0.834416
5,3,5,0.87987
5,3,6,0.925325
5,3,7,0.462662
5,4,0,0
5,4,1,0.363636
5,4,2,0.727273
5,4,3,0.792208
5,4,4,0.857143
5,4,5,0.894481
5,4,6,0.931818
5,4,7,0.465909
5,5,0,0
5,5,1,0.368506
5,5,2,0.737013
5,5,3,0.805195
5,5,4,0.873377
5,5,5,0.907468
5,5,6,0.941558
5,5,7,0.470779
5,6,0,0
5,6,1,0.373377
5,6,2,0.746753
5,6,3,0.818182
5,6,4,0.88961
5,6,5,0.920455
5,6,6,0.951299
5,6,7,0.475649
5,7,0,0
5,7,1,0.37987
5,7,2,0.75974
5,7,3,0.830357
5,7,4,0.900974
5,7,5,0.93263
