minbound,shape,unit
-40,31,5
-100,18,5
0,8,5

IX,IY,IZ,value
0,0,0,False
0,0,1,False
0,0,2,False
0,0,3,False
0,0,4,False
0,0,5,False
0,0,6,False
0,0,7,False
0,1,0,False
0,1,1,False
0,1,2,False
0,1,3,False
0,1,4,False
0,1,5,False
0,1,6,False
0,1,7,False
0,2,0,False
0,2,1,False
0,2,2,False
0,2,3,False
0,2,4,False
0,2,5,False
0,2,6,False
0,2,7,False
0,3,0,False
0,3,1,False
0,3,2,False
0,3,3,False
0,3,4,False
0,3,5,False
0,3,6,False
0,3,7,False
0,4,0,False
0,4,1,False
0,4,2,False
0,4,3,False
0,4,4,False
0,4,5,False
0,4,6,False
0,4,7,False
0,5,0,False
0,5,1,False
0,5,2,False
0,5,3,False
0,5,4,False
0,5,5,False
0,5,6,False
0,5,7,False
0,6,0,False
0,6,1,False
0,6,2,False
0,6,3,False
0,6,4,False
0,6,5,False
0,6,6,False
0,6,7,False
0,7,0,False
0,7,1,False
0,7,2,False
0,7,3,False
0,7,4,False
0,7,5,False
0,7,6,False
0,7,7,False
0,8,0,False
0,8,1,False
0,8,2,False
0,8,3,False
0,8,4,False
0,8,5,False
0,8,6,False
0,8,7,False
0,9,0,False
0,9,1,False
0,9,2,False
0,9,3,False
0,9,4,False
0,9,5,False
0,9,6,False
0,9,7,False
0,10,0,False
0,10,1,False
0,10,2,False
0,10,3,False
0,10,4,False
0,10,5,False
0,10,6,False
0,10,7,False
0,11,0,False
0,11,1,False
0,11,2,False
0,11,3,False
0,11,4,False
0,11,5,False
0,11,6,False
0,11,7,False
0,12,0,False
0,12,1,False
0,12,2,False
0,12,3,False
0,12,4,False
0,12,5,False
0,12,6,False
0,12,7,False
0,13,0,False
0,13,1,False
0,13,2,False
0,13,3,False
0,13,4,False
0,13,5,False
0,13,6,False
0,13,7,False
0,14,0,False
0,14,1,False
0,14,2,False
0,14,3,False
0,14,4,False
0,14,5,False
0,14,6,False
0,14,7,False
0,15,0,False
0,15,1,False
0,15,2,False
