minbound,shape,unit
0,7,10
-50,6,10
0,7,10

IX,IY,IZ,value
0,0,0,False
0,0,1,False
0,0,2,False
0,0,3,False
0,0,4,False
0,0,5,False
0,0,6,False
0,1,0,False
0,1,1,False
0,1,2,False
0,1,3,False
0,1,4,False
0,1,5,False
0,1,6,False
0,2,0,False
0,2,1,False
0,2,2,False
0,2,3,False
0,2,4,False
0,2,5,False
0,2,6,False
0,3,0,False
0,3,1,False
0,3,2,False
0,3,3,False
0,3,4,False
0,3,5,False
0,3,6,False
0,4,0,False
0,4,1,False
0,4,2,False
0,4,3,False
0,4,4,False
0,4,5,False
0,4,6,False
0,5,0,False
0,5,1,False
0,5,2,False
0,5,3,False
0,5,4,False
0,5,5,False
0,5,6,False
1,0,0,False
1,0,1,False
1,0,2,False
1,0,3,False
1,0,4,False
1,0,5,False
1,0,6,False
1,1,0,False
1,1,1,False
1,1,2,True
1,1,3,False
1,1,4,True
1,1,5,False
1,1,6,False
1,2,0,False
1,2,1,False
1,2,2,True
1,2,3,True
1,2,4,True
1,2,5,False
1,2,6,False
1,3,0,False
1,3,1,False
1,3,2,True
1,3,3,True
1,3,4,False
1,3,5,True
1,3,6,False
1,4,0,False
1,4,1,False
1,4,2,False
1,4,3,False
1,4,4,False
1,4,5,True
1,4,6,False
1,5,0,False
1,5,1,False
1,5,2,False
1,5,3,False
1,5,4,False
1,5,5,False
1,5,6,False
2,0,0,False
2,0,1,False
2,0,2,False
2,0,3,False
2,0,4,False
2,0,5,False
2,0,6,False
2,1,0,False
2,1,1,True
2,1,2,True
2,1,3,False
2,1,4,False
2,1,5,False
2,1,6,False
2,2,0,False
2,2,1,True
2,2,2,True
2,2,3,True
2,2,4,False
2,2,5,False
2,2,6,False
2,3,0,False
2,3,1,True
2,3,2,True
2,3,3,True
2,3,4,False
2,3,5,False
2,3,6,False
2,4,0,False
2,4,1,False
2,4,2,False
2,4,3,False
2,4,4,False
2,4,5,False
2,4,6,False
2,5,0,False
2,5,1,False
2,5,2,False
2,5,3,False
2,5,4,False
2,5,5,False
2,5,6,False
3,0,0,False
3,0,1,False
3,0,2,False
3,0,3,False
3,0,4,False
3,0,5,False
3,0,6,False
3,1,0,False
3,1,1,True
3,1,2,True
3,1,3,True
3,1,4,False
3,1,5,False
3,1,6,False
3,2,0,False
3,2,1,True
3,2,2,True
3,2,3,True
3,2,4,False
3,2,5,False
3,2,6,False
3,3,0,False
3,3,1,True
3,3,2,True
3,3,3,True
3,3,4,False
3,3,5,False
3,3,6,False
3,4,0,False
3,4,1,False
3,4,2,True
3,4,3,False
3,4,4,False
3,4,5,False
3,4,6,False
3,5,0,False
3,5,1,False
3,5,2,False
3,5,3,False
3,5,4,False
3,5,5,False
3,5,6,False
4,0,0,False
4,0,1,False
4,0,2,False
4,0,3,False
4,0,4,False
4,0,5,False
4,0,6,False
4,1,0,False
4,1,1,True
4,1,2,True
4,1,3,True
4,1,4,False
4,1,5,False
4,1,6,False
4,2,0,False
4,2,1,True
4,2,2,True
4,2,3,True
4,2,4,False
4,2,5,False
4,2,6,False
4,3,0,False
4,3,1,True
4,3,2,True
4,3,3,True
4,3,4,False
4,3,5,False
4,3,6,False
4,4,0,False
4,4,1,False
4,4,2,False
4,4,3,False
4,4,4,False
4,4,5,False
4,4,6,False
4,5,0,False
4,5,1,False
4,5,2,False
4,5,3,False
4,5,4,False
4,5,5,False
4,5,6,False
5,0,0,False
5,0,1,False
5,0,2,False
5,0,3,False
5,0,4,False
5,0,5,False
5,0,6,False
5,1,0,False
5,1,1,True
5,1,2,True
5,1,3,False
5,1,4,False
5,1,5,False
5,1,6,False
5,2,0,False
5,2,1,True
5,2,2,True
5,2,3,True
5,2,4,False
5,2,5,False
5,2,6,False
5,3,0,False
5,3,1,True
5,3,2,True
5,3,3,True
5,3,4,False
5,3,5,False
5,3,6,False
5,4,0,False
5,4,1,False
5,4,2,False
5,4,3,False
5,4,4,False
5,4,5,False
5,4,6,False
5,5,0,False
5,5,1,False
5,5,2,False
5,5,3,False
5,5,4,False
5,5,5,False
5,5,6,False
6,0,0,False
6,0,1,False
6,0,2,False
6,0,3,False
6,0,4,False
6,0,5,False
6,0,6,False
6,1,0,False
6,1,1,False
6,1,2,False
6,1,3,False
6,1,4,False
6,1,5,False
6,1,6,False
6,2,0,False
6,2,1,True
6,2,2,False
6,2,3,False
6,2,4,False
6,2,5,False
6,2,6,False
6,3,0,False
6,3,1,False
6,3,2,False
6,3,3,False
6,3,4,False
6,3,5,False
6,3,6,False
6,4,0,False
6,4,1,False
6,4,2,False
6,4,3,False
6,4,4,False
6,4,5,False
6,4,6,False
6,5,0,False
6,5,1,False
6,5,2,False
6,5,3,False
6,5,4,False
6,5,5,False
6,5,6,False
