minbound,shape,unit
-40,16,10
-120,15,10
0,5,10

IX,IY,IZ,value
0,0,0,False
0,0,1,False
0,0,2,False
0,0,3,False
0,0,4,False
0,1,0,False
0,1,1,False
0,1,2,False
0,1,3,False
0,1,4,False
0,2,0,False
0,2,1,True
0,2,2,True
0,2,3,True
0,2,4,False
0,3,0,False
0,3,1,False
0,3,2,False
0,3,3,False
0,3,4,False
0,4,0,False
0,4,1,False
0,4,2,False
0,4,3,False
0,4,4,False
0,5,0,False
0,5,1,False
0,5,2,False
0,5,3,False
0,5,4,False
0,6,0,False
0,6,1,False
0,6,2,False
0,6,3,False
0,6,4,False
0,7,0,False
0,7,1,False
0,7,2,False
0,7,3,False
0,7,4,False
0,8,0,False
0,8,1,False
0,8,2,False
0,8,3,False
0,8,4,False
0,9,0,False
0,9,1,False
0,9,2,False
0,9,3,False
0,9,4,False
0,10,0,False
0,10,1,False
0,10,2,False
0,10,3,False
0,10,4,False
0,11,0,False
0,11,1,False
0,11,2,False
0,11,3,False
0,11,4,False
0,12,0,False
0,12,1,False
0,12,2,False
0,12,3,False
0,12,4,False
0,13,0,False
0,13,1,False
0,13,2,False
0,13,3,False
0,13,4,False
0,14,0,False
0,14,1,False
0,14,2,False
0,14,3,False
0,14,4,False
1,0,0,False
1,0,1,False
1,0,2,False
1,0,3,False
1,0,4,False
1,1,0,False
1,1,1,False
1,1,2,False
1,1,3,False
1,1,4,False
1,2,0,False
1,2,1,True
1,2,2,True
1,2,3,True
1,2,4,False
1,3,0,False
1,3,1,True
1,3,2,True
1,3,3,True
1,3,4,False
1,4,0,False
1,4,1,True
1,4,2,True
1,4,3,True
1,4,4,False
1,5,0,False
1,5,1,True
1,5,2,True
1,5,3,True
1,5,4,False
1,6,0,False
1,6,1,True
1,6,2,True
1,6,3,True
1,6,4,False
1,7,0,False
1,7,1,True
1,7,2,True
1,7,3,True
1,7,4,False
1,8,0,False
1,8,1,True
1,8,2,True
1,8,3,True
1,8,4,False
1,9,0,False
1,9,1,True
1,9,2,True
