minbound,shape,unit
-40,16,10
-100,9,10
0,5,10

IX,IY,IZ,value
0,0,0,0
0,0,1,0
0,0,2,0
0,0,3,0
0,0,4,0
0,1,0,0
0,1,1,0
0,1,2,0
0,1,3,0
0,1,4,0
0,2,0,0
0,2,1,0
0,2,2,0
0,2,3,0
0,2,4,0
0,3,0,0
0,3,1,0
0,3,2,0
0,3,3,0
0,3,4,0
0,4,0,0
0,4,1,0
0,4,2,0
0,4,3,0
0,4,4,0
0,5,0,0
0,5,1,0
0,5,2,0
0,5,3,0
0,5,4,0
0,6,0,0
0,6,1,0
0,6,2,0
0,6,3,0
0,6,4,0
0,7,0,0
0,7,1,0
0,7,2,0
0,7,3,0
0,7,4,0
0,8,0,0
0,8,1,0
0,8,2,0
0,8,3,0
0,8,4,0
1,0,0,0
1,0,1,0
1,0,2,0
1,0,3,0
1,0,4,0
1,1,0,0
1,1,1,0.448052
1,1,2,0.837662
1,1,3,0.935065
1,1,4,0
1,2,0,0
1,2,1,0.707792
1,2,2,0.876623
1,2,3,0.948052
1,2,4,0
1,3,0,0
1,3,1,0.753247
1,3,2,0.902597
1,3,3,0.954545
1,3,4,0
1,4,0,0
1,4,1,0.753247
1,4,2,0.928571
1,4,3,0.987013
1,4,4,0
1,5,0,0
1,5,1,0.792208
1,5,2,0.941558
1,5,3,0.987013
1,5,4,0
1,6,0,0
1,6,1,0.805195
1,6,2,0.948052
1,6,3,0.987013
1,6,4,0
1,7,0,0
1,7,1,0.824675
1,7,2,0.954545
1,7,3,0.987013
1,7,4,0
1,8,0,0
1,8,1,0.772727
1,8,2,0.961039
1,8,3,0.987013
1,8,4,0
2,0,0,0
2,0,1,0
2,0,2,0
2,0,3,0
2,0,4,0
2,1,0,0
2,1,1,0.616883
2,1,2,0.818182
2,1,3,0.922078
2,1,4,0
2,2,0,0
2,2,1,0.720779
2,2,2,0.863636
2,2,3,0.935065
2,2,4,0
2,3,0,0
2,3,1,0.746753
2,3,2,0.896104
2,3,3,0.954545
2,3,4,0
2,4,0,0
2,4,1,0.766234
2,4,2,0.915584
2,4,3,0.980519
2,4,4,0
2,5,0,0
2,5,1,0.785714
2,5,2,0.935065
2,5,3,0.980519
2,5,4,0
2,6,0,0
2,6,1,0.805195
2,6,2,0.941558
2,6,3,0.980519
2,6,4,0
2,7,0,0
2,7,1,0.824675
2,7,2,0.941558
2,7,3,0.980519
2,7,4,0
2,8,0,0
2,8,1,0.837662
2,8,2,0.954545
2,8,3,0.980519
2,8,4,0
3,0,0,0
3,0,1,0
3,0,2,0
3,0,3,0
3,0,4,0
3,1,0,0
3,1,1,0.688312
3,1,2,0.805195
3,1,3,0.915584
3,1,4,0
3,2,0,0
3,2,1,0.733766
3,2,2,0.850649
3,2,3,0.928571
3,2,4,0
3,3,0,0
3,3,1,0.746753
3,3,2,0.883117
3,3,3,0.948052
3,3,4,0
3,4,0,0
3,4,1,0.779221
3,4,2,0.909091
3,4,3,0.974026
3,4,4,0
3,5,0,0
3,5,1,0.779221
3,5,2,0.928571
3,5,3,0.967532
3,5,4,0
3,6,0,0
3,6,1,0.805195
3,6,2,0.935065
3,6,3,0.974026
3,6,4,0
3,7,0,0
3,7,1,0.831169
3,7,2,0.935065
3,7,3,0.980519
3,7,4,0
3,8,0,0
3,8,1,0.824675
3,8,2,0.954545
3,8,3,0.974026
3,8,4,0
4,0,0,0
4,0,1,0
4,0,2,0
4,0,3,0
4,0,4,0
4,1,0,0
4,1,1,0.675325
4,1,2,0.798701
4,1,3,0.915584
4,1,4,0
4,2,0,0
4,2,1,0.714286
4,2,2,0.837662
4,2,3,0.928571
4,2,4,0
4,3,0,0
4,3,1,0.753247
4,3,2,0.876623
4,3,3,0.941558
4,3,4,0
4,4,0,0
4,4,1,0.785714
4,4,2,0.896104
4,4,3,0.967532
4,4,4,0
4,5,0,0
4,5,1,0.792208
4,5,2,0.922078
4,5,3,0.967532
4,5,4,0
4,6,0,0
4,6,1,0.818182
4,6,2,0.928571
4,6,3,0.967532
4,6,4,0
4,7,0,0
4,7,1,0.831169
4,7,2,0.928571
4,7,3,0.967532
4,7,4,0
4,8,0,0
4,8,1,0.837662
4,8,2,0.954545
4,8,3,0.967532
4,8,4,0
5,0,0,0
5,0,1,0
5,0,2,0
5,0,3,0
5,0,4,0
5,1,0,0
5,1,1,0.688312
5,1,2,0.792208
5,1,3,0.909091
5,1,4,0
5,2,0,0
5,2,1,0.720779
5,2,2,0.837662
5,2,3,0.922078
5,2,4,0
5,3,0,0
5,3,1,0.75974
5,3,2,0.876623
5,3,3,0.948052
5,3,4,0
5,4,0,0
5,4,1,0.785714
5,4,2,0.88961
5,4,3,0.967532
5,4,4,0
5,5,0,0
5,5,1,0
5,5,2,0
5,5,3,0
5,5,4,0
5,6,0,0
5,6,1,0
5,6,2,0
5,6,3,0
5,6,4,0
5,7,0,0
5,7,1,0
5,7,2,0
5,7,3,0
5,7,4,0
5,8,0,0
5,8,1,0
5,8,2,0
5,8,3,0
5,8,4,0
6,0,0,0
6,0,1,0
6,0,2,0
6,0,3,0
6,0,4,0
6,1,0,0
6,1,1,0.681818
6,1,2,0.785714
6,1,3,0.915584
6,1,4,0
6,2,0,0
6,2,1,0.720779
6,2,2,0.831169
6,2,3,0.915584
6,2,4,0
6,3,0,0
6,3,1,0.75974
6,3,2,0.87013
6,3,3,0.941558
6,3,4,0
6,4,0,0
6,4,1,0.766234
6,4,2,0.88961
6,4,3,0.954545
6,4,4,0
6,5,0,0
6,5,1,0
6,5,2,0
6,5,3,0
6,5,4,0
6,6,0,0
6,6,1,0
6,6,2,0
6,6,3,0
6,6,4,0
6,7,0,0
6,7,1,0
6,7,2,0
6,7,3,0
6,7,4,0
6,8,0,0
6,8,1,0
6,8,2,0
6,8,3,0
6,8,4,0
7,0,0,0
7,0,1,0
7,0,2,0
7,0,3,0
7,0,4,0
7,1,0,0
7,1,1,0.675325
7,1,2,0.805195
7,1,3,0.909091
7,1,4,0
7,2,0,0
7,2,1,0.727273
7,2,2,0.831169
7,2,3,0.915584
7,2,4,0
7,3,0,0
7,3,1,0.746753
7,3,2,0.857143
7,3,3,0.935065
7,3,4,0
7,4,0,0
7,4,1,0.772727
7,4,2,0.88961
7,4,3,0.954545
7,4,4,0
7,5,0,0
7,5,1,0
7,5,2,0
7,5,3,0
7,5,4,0
7,6,0,0
7,6,1,0
7,6,2,0
7,6,3,0
7,6,4,0
7,7,0,0
7,7,1,0
7,7,2,0
7,7,3,0
7,7,4,0
7,8,0,0
7,8,1,0
7,8,2,0
7,8,3,0
7,8,4,0
8,0,0,0
8,0,1,0
8,0,2,0
8,0,3,0
8,0,4,0
8,1,0,0
8,1,1,0.681818
8,1,2,0.785714
8,1,3,0.896104
8,1,4,0
8,2,0,0
8,2,1,0.714286
8,2,2,0.837662
8,2,3,0.915584
8,2,4,0
8,3,0,0
8,3,1,0.733766
8,3,2,0.857143
8,3,3,0.941558
8,3,4,0
8,4,0,0
8,4,1,0.75974
8,4,2,0.883117
8,4,3,0.948052
8,4,4,0
8,5,0,0
8,5,1,0
8,5,2,0
8,5,3,0
8,5,4,0
8,6,0,0
8,6,1,0
8,6,2,0
8,6,3,0
8,6,4,0
8,7,0,0
8,7,1,0
8,7,2,0
8,7,3,0
8,7,4,0
8,8,0,0
8,8,1,0
8,8,2,0
8,8,3,0
8,8,4,0
9,0,0,0
9,0,1,0
9,0,2,0
9,0,3,0
9,0,4,0
9,1,0,0
9,1,1,0.694805
9,1,2,0.785714
9,1,3,0.88961
9,1,4,0
9,2,0,0
9,2,1,0.720779
9,2,2,0.850649
9,2,3,0.915584
9,2,4,0
9,3,0,0
9,3,1,0.727273
9,3,2,0.857143
9,3,3,0.941558
9,3,4,0
9,4,0,0
9,4,1,0.772727
9,4,2,0.883117
9,4,3,0.948052
9,4,4,0
9,5,0,0
9,5,1,0
9,5,2,0
9,5,3,0
9,5,4,0
9,6,0,0
9,6,1,0
9,6,2,0
9,6,3,0
9,6,4,0
9,7,0,0
9,7,1,0
9,7,2,0
9,7,3,0
9,7,4,0
9,8,0,0
9,8,1,0
9,8,2,0
9,8,3,0
9,8,4,0
10,0,0,0
10,0,1,0
10,0,2,0
10,0,3,0
10,0,4,0
10,1,0,0
10,1,1,0.681818
10,1,2,0.792208
10,1,3,0.88961
10,1,4,0
10,2,0,0
10,2,1,0.707792
10,2,2,0.831169
10,2,3,0.896104
10,2,4,0
10,3,0,0
10,3,1,0.733766
10,3,2,0.850649
10,3,3,0.928571
10,3,4,0
10,4,0,0
10,4,1,0.772727
10,4,2,0.88961
10,4,3,0.941558
10,4,4,0
10,5,0,0
10,5,1,0.785714
10,5,2,0.88961
10,5,3,0.948052
10,5,4,0
10,6,0,0
10,6,1,0.785714
10,6,2,0.896104
10,6,3,0.948052
10,6,4,0
10,7,0,0
10,7,1,0.811688
10,7,2,0.909091
10,7,3,0.954545
10,7,4,0
10,8,0,0
10,8,1,0.831169
10,8,2,0.935065
10,8,3,0.954545
10,8,4,0
11,0,0,0
11,0,1,0
11,0,2,0
11,0,3,0
11,0,4,0
11,1,0,0
11,1,1,0.681818
11,1,2,0.805195
11,1,3,0.88961
11,1,4,0
11,2,0,0
11,2,1,0.694805
11,2,2,0.818182
11,2,3,0.896104
11,2,4,0
11,3,0,0
11,3,1,0.74026
11,3,2,0.850649
11,3,3,0.922078
11,3,4,0
11,4,0,0
11,4,1,0.772727
11,4,2,0.896104
11,4,3,0.941558
11,4,4,0
11,5,0,0
11,5,1,0.766234
11,5,2,0.88961
11,5,3,0.948052
11,5,4,0
11,6,0,0
11,6,1,0.792208
11,6,2,0.896104
11,6,3,0.948052
11,6,4,0
11,7,0,0
11,7,1,0.811688
11,7,2,0.909091
11,7,3,0.954545
11,7,4,0
11,8,0,0
11,8,1,0.837662
11,8,2,0.935065
11,8,3,0.954545
11,8,4,0
12,0,0,0
12,0,1,0
12,0,2,0
12,0,3,0
12,0,4,0
12,1,0,0
12,1,1,0.675325
12,1,2,0.811688
12,1,3,0.88961
12,1,4,0
12,2,0,0
12,2,1,0.701299
12,2,2,0.818182
12,2,3,0.896104
12,2,4,0
12,3,0,0
12,3,1,0.74026
12,3,2,0.850649
12,3,3,0.928571
12,3,4,0
12,4,0,0
12,4,1,0.75974
12,4,2,0.883117
12,4,3,0.941558
12,4,4,0
12,5,0,0
12,5,1,0.772727
12,5,2,0.88961
12,5,3,0.948052
12,5,4,0
12,6,0,0
12,6,1,0.798701
12,6,2,0.896104
12,6,3,0.948052
12,6,4,0
12,7,0,0
12,7,1,0.818182
12,7,2,0.909091
12,7,3,0.954545
12,7,4,0
12,8,0,0
12,8,1,0.811688
12,8,2,0.928571
12,8,3,0.954545
12,8,4,0
13,0,0,0
13,0,1,0
13,0,2,0
13,0,3,0
13,0,4,0
13,1,0,0
13,1,1,0.642857
13,1,2,0.798701
13,1,3,0.88961
13,1,4,0
13,2,0,0
13,2,1,0.694805
13,2,2,0.818182
13,2,3,0.896104
13,2,4,0
13,3,0,0
13,3,1,0.714286
13,3,2,0.857143
13,3,3,0.922078
13,3,4,0
13,4,0,0
13,4,1,0.746753
13,4,2,0.87013
13,4,3,0.935065
13,4,4,0
13,5,0,0
13,5,1,0.766234
13,5,2,0.88961
13,5,3,0.941558
13,5,4,0
13,6,0,0
13,6,1,0.798701
13,6,2,0.896104
13,6,3,0.948052
13,6,4,0
13,7,0,0
13,7,1,0.811688
13,7,2,0.909091
13,7,3,0.954545
13,7,4,0
13,8,0,0
13,8,1,0.811688
13,8,2,0.928571
13,8,3,0.948052
13,8,4,0
14,0,0,0
14,0,1,0
14,0,2,0
14,0,3,0
14,0,4,0
14,1,0,0
14,1,1,0.642857
14,1,2,0.811688
14,1,3,0.896104
14,1,4,0
14,2,0,0
14,2,1,0.681818
14,2,2,0.824675
14,2,3,0.915584
14,2,4,0
14,3,0,0
14,3,1,0.694805
14,3,2,0.857143
14,3,3,0.922078
14,3,4,0
14,4,0,0
14,4,1,0.714286
14,4,2,0.87013
14,4,3,0.928571
14,4,4,0
14,5,0,0
14,5,1,0.75974
14,5,2,0.87013
14,5,3,0.928571
14,5,4,0
14,6,0,0
14,6,1,0.779221
14,6,2,0.883117
14,6,3,0.935065
14,6,4,0
14,7,0,0
14,7,1,0.798701
14,7,2,0.915584
14,7,3,0.948052
14,7,4,0
14,8,0,0
14,8,1,0.818182
14,8,2,0.928571
14,8,3,0.948052
14,8,4,0
15,0,0,0
15,0,1,0
15,0,2,0
15,0,3,0
15,0,4,0
15,1,0,0
15,1,1,0.623377
15,1,2,0.811688
15,1,3,0.883117
15,1,4,0
15,2,0,0
15,2,1,0.62987
15,2,2,0.844156
15,2,3,0.922078
15,2,4,0
15,3,0,0
15,3,1,0.649351
15,3,2,0.844156
15,3,3,0.922078
15,3,4,0
15,4,0,0
15,4,1,0.675325
15,4,2,0.844156
15,4,3,0.922078
15,4,4,0
15,5,0,0
15,5,1,0.75974
15,5,2,0.863636
15,5,3,0.928571
15,5,4,0
15,6,0,0
15,6,1,0.779221
15,6,2,0.883117
15,6,3,0.935065
15,6,4,0
15,7,0,0
15,7,1,0.779221
15,7,2,0.928571
15,7,3,0.948052
15,7,4,0
15,8,0,0
15,8,1,0.798701
15,8,2,0.928571
15,8,3,0.948052
15,8,4,0
